Fiducial,Line_number,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,PX,PZ,S0X_time_1.086e-05,S0X_time_3.256e-05,S0X_time_5.426e-05,S0X_time_8.680e-05,S0X_time_1.411e-04,S0X_time_2.279e-04,S0X_time_3.689e-04,S0X_time_5.860e-04,S0X_time_9.115e-04,S0X_time_1.411e-03,S0X_time_2.192e-03,S0X_time_3.418e-03,S0X_time_5.339e-03,S0X_time_8.301e-03,S0X_time_1.338e-02,S0Z_time_1.086e-05,S0Z_time_3.256e-05,S0Z_time_5.426e-05,S0Z_time_8.680e-05,S0Z_time_1.411e-04,S0Z_time_2.279e-04,S0Z_time_3.689e-04,S0Z_time_5.860e-04,S0Z_time_9.115e-04,S0Z_time_1.411e-03,S0Z_time_2.192e-03,S0Z_time_3.418e-03,S0Z_time_5.339e-03,S0Z_time_8.301e-03,S0Z_time_1.338e-02
0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.453928882545162,2.555914252300796,2.087302771051921,1.7858416097022523,1.548610790051862,1.3733285913676792,1.2224931166343205,1.074684994121303,0.9344356417115774,0.7870678935295912,0.6321141577338961,0.4871980465208066,0.34660588084402677,0.2403163643950162,0.15614665557536347,6.503951296465251,4.465147632861404,3.8407014761321068,3.4232113565089834,3.0803819688644483,2.8110381919135308,2.5710569013285594,2.340474770359675,2.099198032642683,1.8484750523501008,1.5753943003384052,1.2976360051342768,1.028220120055133,0.780200252095363,0.5515007768680866
1.0,0.0,1.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.459391505510357,2.5689516079382644,2.105860019989624,1.7708781025530644,1.481711790735923,1.296194560830025,1.1321536334682378,0.9892531735479502,0.8517007354168865,0.7188010445612963,0.5799015988604125,0.4483878457503852,0.32715508546165983,0.22746912082036605,0.1403534849972618,6.489063898120396,4.501619956159044,3.8950567178163062,3.423934475506219,3.020452728203922,2.710183852445055,2.444843517258996,2.2114067227017213,1.9795586536214893,1.7473562487110572,1.4887006982849167,1.2292357307231112,0.9754040140811208,0.7445805588647971,0.5271725654892355
2.0,0.0,2.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.455118396154706,2.5564456189264173,2.1204234282623844,1.7726483296161422,1.4649285544564665,1.230345399286954,1.0598982122843335,0.9134742919534504,0.7925219285985576,0.6626465718719196,0.5368396485751782,0.41210778190391517,0.2965831039354361,0.21224110665633636,0.1330953222619832,6.545816562892998,4.5590076992539,3.9367529153261827,3.458176594349622,2.9956071730494958,2.635890604050079,2.3389204558068264,2.0924793770830137,1.8739876947809149,1.6475450747947205,1.4069116749427515,1.1635346719687085,0.9272883532186056,0.7067290771549051,0.5021938952372759
3.0,0.0,3.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.489848746354984,2.6196405649167107,2.14308499295862,1.7896058185346408,1.4641274852168134,1.2016659359758677,1.0009932510640214,0.8566398217365354,0.7324479684783463,0.6163062669766284,0.49441561863811073,0.3917132965860024,0.2846643703253464,0.19847814319981372,0.12405763725617278,6.548139615918669,4.597308457558812,3.983371106844222,3.485179118671752,3.0030639424513255,2.5811090897499,2.2513822570136557,1.9968340101843218,1.7795009064953629,1.557476362755097,1.3325565990712895,1.105108211455817,0.87719431055531,0.6776803845881493,0.48117691797533196
4.0,0.0,4.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.4884292253429185,2.6375873618906924,2.176326323474963,1.816545246780457,1.4603510287809092,1.1743513344855325,0.9507160417624674,0.8081631404390348,0.6802834133010363,0.5676150994156203,0.4654206546468238,0.3619188471380557,0.2636426906414058,0.1897463475982107,0.11913625203094223,6.580357712593421,4.634851480050156,4.019196824139533,3.522847111077012,3.0168729578580296,2.5633340453849374,2.1944704895245515,1.9183044751560308,1.6942891759782943,1.4791933361519374,1.2632411301024866,1.04870310883523,0.8374262809868274,0.6413941046704786,0.46326613915879117
5.0,0.0,5.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.484029388113709,2.65922211734409,2.197555310343355,1.8359018832497052,1.471725289537049,1.168633889700026,0.9312139002576231,0.7572993111363704,0.6384109764658972,0.5363898370242239,0.4321705835590886,0.33860042324542367,0.253968477708404,0.175391424128606,0.1148668694524412,6.597774251373482,4.674509911523253,4.059684142375648,3.5558968445302916,3.042512667694065,2.557441012776712,2.1558862639449465,1.8513639237488204,1.6089817401722224,1.4089003770961372,1.1998953879378742,0.9964265167664474,0.7992304883079655,0.6153316292529666,0.4439802799500922
6.0,0.0,6.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.502575347323723,2.7087967834302007,2.22209172621991,1.857818119118188,1.4966203981355,1.1574748848190495,0.9107220746407757,0.7303160395922559,0.6070256522521886,0.4971713334055145,0.40782975158530194,0.31706433474910084,0.23412023760662118,0.1675867339459461,0.10485151980155186,6.625669255096132,4.705878450335717,4.09810726804347,3.600522881480681,3.0850713279285302,2.571569588191463,2.1223497174818844,1.7986630468480345,1.5528256082227188,1.3423201757300853,1.1454517447449193,0.9450295384400206,0.7595674746327967,0.5852314122190292,0.42650696120908543
7.0,0.0,7.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.521674656327081,2.7064540658064167,2.2510651333040976,1.8808946638869903,1.5189215232555902,1.1728234736761545,0.8969747134733526,0.6947739188046188,0.5769782303795493,0.46458613897265627,0.3711018399051293,0.29725196106235385,0.2197941777644846,0.15517678937704868,0.10284490670852797,6.643154168366829,4.751739715077421,4.13723085471401,3.6355049883242074,3.1207533044724514,2.5948450895622615,2.116558059878548,1.7589633318065192,1.4972718925223616,1.2862737501464314,1.0899969962423068,0.9038627164339642,0.7241636793306183,0.5582722281447862,0.406740063490414
8.0,0.0,8.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.528913101159433,2.7685448252146254,2.2829077693445456,1.913810231755235,1.522846082064449,1.1816018256613559,0.8851967528939995,0.6816842533316587,0.5466572606117477,0.4382179071770579,0.3527591180866555,0.2735649365581741,0.2051888707249006,0.14847417862021783,0.10347429164009563,6.677507715201945,4.781564678297165,4.18647718616001,3.6835314002802884,3.1565187421943666,2.622576926464514,2.1212171105579096,1.7255497409067007,1.4478430373278397,1.227188735942426,1.0394210877543688,0.8602787984328849,0.6942611751162869,0.5342448756860547,0.392884512546629
9.0,0.0,9.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.543556789265605,2.789414005752273,2.316027460621648,1.93146562139954,1.54636807523575,1.1914004761122616,0.8907653539059129,0.6659332114478411,0.5135376166196384,0.41087819927278335,0.3273679179876804,0.2663821469804807,0.19768587441898317,0.13840308560233472,0.09167652994566271,6.67759200902295,4.808879875454249,4.230714595175395,3.714979447086702,3.184917296536403,2.644717701154062,2.1279548109867807,1.7074215549401113,1.405974674653447,1.1858155103975505,0.996869627713161,0.8218071996891737,0.6615790623433456,0.5132192794634348,0.37494218404848567
