Fiducial,Line_number,Easting,Northing,Height,Elevation,In_Phase_380.0,In_Phase_1776.0,In_Phase_3345.0,In_Phase_8171.0,In_Phase_41020.0,In_Phase_129550.0,Quadrature_380.0,Quadrature_1776.0,Quadrature_3345.0,Quadrature_8171.0,Quadrature_41020.0,Quadrature_129550.0
0.0,0.0,0.0,0.0,30.0,0.0,37.33433601906684,160.65250416359748,100.92669902667328,514.2353670693888,1071.6536886702215,1889.196758344747,88.73293850094748,245.4125188402242,135.50603038565717,517.878544484279,862.896440569741,1144.467320975164
1.0,0.0,1.0,0.0,30.0,0.0,21.816339706573693,162.78603543991105,125.81924179989235,550.1360626776836,1006.471563264737,1722.9027180841563,96.26905441792903,268.3008360125478,124.64972391048245,447.8958696488131,856.3979346746058,1112.3168753574762
2.0,0.0,2.0,0.0,30.0,0.0,42.25552601718252,182.7317818054202,108.0041300661474,520.7619287895486,1046.1635602737522,1997.2829452312887,107.6192288581756,262.8521763833168,131.14146955360715,464.92568157928474,725.1642567932687,1125.6490100412193
3.0,0.0,3.0,0.0,30.0,0.0,36.83647506894389,192.0588792179687,111.70482343600978,537.5150059791508,1026.949177426773,1922.176994050525,104.67169940147087,279.22443335428915,121.22811792061412,384.08066562874365,759.479122466287,1138.1529992441192
4.0,0.0,4.0,0.0,30.0,0.0,44.078249744674494,223.61374534512998,141.92740112618304,552.9565302392114,1085.6482929856045,1934.062237616144,129.364480223774,281.161277374764,126.59320529228873,429.09154131613246,864.5432610979465,1125.829326238701
5.0,0.0,5.0,0.0,30.0,0.0,42.962103230745655,185.0445265255695,126.90225496265181,549.069502961759,1049.4594769682806,1841.8473471730272,114.33357805247957,254.26882563685461,128.03757379287924,409.0396927395567,788.7424157741837,1011.5050586499909
6.0,0.0,6.0,0.0,30.0,0.0,28.431929527547496,233.25684509447044,132.22951723773994,592.3921140423766,1123.7198358712144,2011.4423573400761,139.83924185990534,288.386859651382,140.54098751924832,421.2326982371535,758.3910053943152,1110.8875601765965
7.0,0.0,7.0,0.0,30.0,0.0,56.26446391595421,243.1280980282346,137.006387603327,585.6129079757978,1054.9269254079472,1841.343589546531,136.45656401820426,279.4913411865033,116.77125118518313,411.74895967402273,842.4179768003906,1149.9870145680684
8.0,0.0,8.0,0.0,30.0,0.0,50.96780164656017,245.57091652669683,135.2867223296634,569.3704838060262,988.228662190191,2057.7489919576874,125.1137361162758,279.57677306069866,115.54871441047082,399.07020114776657,832.8068338962897,1161.5074887836495
9.0,0.0,9.0,0.0,30.0,0.0,61.32006805029102,273.79147871602373,136.3773785869124,537.7708593570278,1041.5459940146527,2006.0505281421931,130.5790838848949,287.3797110168456,128.82842089022947,389.6934379409139,884.4979513406996,1058.051102551729
10.0,0.0,10.0,0.0,30.0,0.0,61.90561518307157,250.48948564147392,142.6700289842056,597.8198866917668,1039.0273155582984,1906.6384383099837,117.53364317926821,297.504457836501,113.87325508342725,384.69105381239746,799.8849339256469,1101.1108764119558
11.0,0.0,11.0,0.0,30.0,0.0,54.052415529495164,287.10661888338024,145.27631927703084,591.4975198435112,1125.8715392164602,1941.091194723017,140.38637655982862,285.10982060031574,121.04126949664088,414.23739601255016,795.6601601992878,1135.8958803441947
12.0,0.0,12.0,0.0,30.0,0.0,65.57742146687515,270.9533190390726,152.01951324092965,598.2977216846027,1034.203719683436,2041.1963660602817,132.43901549294898,268.6491848149966,116.50632668488208,420.0179519226563,735.237820402785,1105.791008353845
13.0,0.0,13.0,0.0,30.0,0.0,71.46616911671983,258.43364102279605,144.27663183860167,619.1481859919179,1091.0323359370034,1973.2207394852335,154.67193955559515,284.5369227675775,130.91949205232817,422.703099826253,803.0876960049102,1067.6377909054368
14.0,0.0,14.0,0.0,30.0,0.0,61.64063504842076,269.20122194903007,138.01930544405297,610.983261271459,1133.426880722285,1723.0890793692292,150.8860505640451,285.0883040642147,126.4584126169912,452.88951113381546,801.3647311576142,1138.8594521210905
15.0,0.0,15.0,0.0,30.0,0.0,69.66451566028644,293.16027042865227,141.4917875786352,593.465775828142,1142.920239954677,1721.7114979600647,153.87584460515953,304.624027526012,136.67388468682003,416.01607503201944,810.6594081583517,1111.2435367258156
16.0,0.0,16.0,0.0,30.0,0.0,72.23131729084271,303.6204697352014,145.2246244118945,637.9544055658329,1103.8331789080564,1832.6517745670499,142.79892441568978,309.0315097752701,120.41793185566645,380.80581780205193,785.3747908627843,1125.3414338703747
17.0,0.0,17.0,0.0,30.0,0.0,77.20916070951291,307.40844948584555,144.10802107027467,622.2269179876083,1066.404286908976,2068.461240190817,153.3990880002829,267.4578070752012,119.09853858537177,416.93007097745317,802.7188709315068,1062.0011786303066
18.0,0.0,18.0,0.0,30.0,0.0,80.33168211892733,273.9817794788914,177.36662505710706,597.1731226851057,1009.3410642234365,1986.903754497587,150.29517376671234,289.1420045923978,133.95538676364922,446.2177397290935,776.1430977583113,990.9319264859197
19.0,0.0,19.0,0.0,30.0,0.0,67.3832921909869,314.6188639595301,159.9263488996212,603.1541249045123,1186.784574406963,2034.9585289548097,164.77906225553866,300.85959305823087,130.88014806468533,430.0381580303665,670.7570426593469,1039.7080307182923
20.0,0.0,20.0,0.0,30.0,0.0,80.908667003879,316.1923579072099,155.2173510440496,671.7790888325567,1037.7963290775501,1867.5731822452676,146.08795266392303,311.24351999337324,142.6899225692683,425.27962348051574,719.8774744269281,1006.1274614916895
21.0,0.0,21.0,0.0,30.0,0.0,77.78198512419468,313.8615501467914,193.43982515224667,718.5871855034835,1126.8545427378374,1879.8555454323964,152.42295117221408,316.1716133591559,138.99165024777932,444.5667942927046,716.198594799217,1083.1864839624504
22.0,0.0,22.0,0.0,30.0,0.0,77.44296668690828,299.80699705709674,155.65535759439217,695.1722613980777,1047.2467745583133,2034.3902238408716,160.83944367236109,312.67283298569487,134.29440328973786,435.3813044518979,684.6386392068052,988.5583594706058
23.0,0.0,23.0,0.0,30.0,0.0,87.92656806429368,316.3043949033473,150.87380654575966,615.8914829239977,1065.3611631198248,2109.2458686366404,169.91672120447433,303.6139417784106,136.77780646402394,449.74160837114835,651.7174116717383,1042.324514015545
24.0,0.0,24.0,0.0,30.0,0.0,72.20028899401917,296.97075967427384,160.89212529923458,666.2098972890045,1154.886848065082,1865.4287470562606,168.79681368864993,317.7773962169572,128.70091821807085,446.23096175356346,684.5527276045997,1000.4749964882271
25.0,0.0,25.0,0.0,30.0,0.0,89.67594983969289,286.05140244946034,166.34346424303504,673.2336664354135,1138.4489980273993,1736.7397313216602,161.62240015790573,319.88534561771434,137.34160321226227,442.8403735119901,725.9401665266564,937.5189799745472
26.0,0.0,26.0,0.0,30.0,0.0,88.5597371680488,341.30808411956394,164.90412439061615,684.5800817467807,1222.0974040635238,2023.2075401706977,162.83996318932293,341.7613730656121,131.95972576115727,409.0216733823865,694.1748174882289,1050.1139961807737
27.0,0.0,27.0,0.0,30.0,0.0,100.86124183141123,321.68262576790835,176.53362023157294,681.9898949994431,1249.2551991279497,1862.1624866374668,179.02050613575173,309.9142553633585,126.58345901455564,468.8626362675777,694.2372369927231,1025.6471286025576
28.0,0.0,28.0,0.0,30.0,0.0,94.43119048236059,319.1656045254233,156.08739959033582,758.536984899623,1220.1459785486782,1952.5279578586092,157.86913999803411,320.91530467354613,127.99167950093128,456.51891455946543,686.1674750976338,1026.5315292297885
29.0,0.0,29.0,0.0,30.0,0.0,106.89886412808401,339.0662171937718,172.04524952710742,644.5113859556211,1184.5108226682892,1794.69350030098,163.01622418483169,341.98706390624176,151.91124727711838,419.9193116227369,671.2270963359321,1018.6216863099704
30.0,0.0,30.0,0.0,30.0,0.0,94.97830284299364,352.80545326697614,174.72224163376447,724.9518413029485,1350.931868569052,1899.0073527238537,171.2223504028519,340.76697460598047,142.63789427004292,493.1063356650678,672.9748170083428,836.7449440185231
31.0,0.0,31.0,0.0,30.0,0.0,91.34928918552949,330.1589215133979,176.91996552281665,682.5652359331935,1314.974704627316,1778.2199535977895,180.22444156240988,325.0551765645467,145.52988848011663,473.4698901699716,702.4491349543475,949.6391629054228
32.0,0.0,32.0,0.0,30.0,0.0,94.78532264086273,351.0358277201712,166.09825775731773,700.5264382116724,1252.2957218548263,1892.1370746784885,165.09436367141348,315.7270214301503,151.99319467641348,450.8942709383326,644.5257536096376,972.1991833781767
33.0,0.0,33.0,0.0,30.0,0.0,86.7173252055765,319.3886230991441,179.09944421348314,734.30542131103,1255.8527406044566,1713.280111719816,189.6172366957501,290.64433449649823,152.58360968901272,484.28411743615703,669.4277683400634,949.4082938790211
34.0,0.0,34.0,0.0,30.0,0.0,98.73759450964955,335.748104301911,193.33756056430553,750.1928539178234,1295.7685969529368,1999.844106132168,176.79808380115216,367.7601454208456,148.59086276112905,462.067183047977,730.585638516489,957.9134148871544
35.0,0.0,35.0,0.0,30.0,0.0,85.49442826605272,344.45600696175967,183.60788962671768,798.7153673022689,1374.5726428471512,1975.541081925859,180.37105201085285,351.36544455278533,154.6472602939347,473.1417821049253,694.0407575417538,1004.1294627780392
36.0,0.0,36.0,0.0,30.0,0.0,103.82521918892098,360.26411462468286,187.97488189891632,728.0646569365159,1400.1498252063598,1997.1025903185036,175.62632827814528,378.06948783891676,137.38085112981707,492.38104392099774,687.4271133265053,978.9742538250422
37.0,0.0,37.0,0.0,30.0,0.0,109.56877045276809,372.9459895072452,188.65899922038236,865.1414369730495,1311.357891000587,1897.355883601184,169.7470150571981,387.53736087453376,156.50585153102253,501.62743213775167,667.3947591249861,982.5419801341842
38.0,0.0,38.0,0.0,30.0,0.0,77.67817430996985,362.46029780286545,193.868284127759,826.7801128567547,1394.4391033199506,1935.2414015128957,176.22375112988504,368.40829748664606,170.32810881091913,458.87293981573816,717.2415257476503,925.0606538739518
39.0,0.0,39.0,0.0,30.0,0.0,104.07717048827742,331.2072266655591,187.06091446500983,736.7019489165439,1325.6088797308087,1873.7993653233716,179.40009102865116,395.90642435769433,168.2458863247285,473.30508332334574,626.0223983272883,859.1943648609674
40.0,0.0,40.0,0.0,30.0,0.0,96.94734595591302,345.0966361218066,214.60518000685124,793.8970755269977,1325.8811923526703,1939.131807927974,187.1095274440779,418.804514164744,165.83471720774406,527.8434088301931,611.2518804995049,870.5777503852719
41.0,0.0,41.0,0.0,30.0,0.0,109.82899812751383,388.6026950414802,202.69832064590932,849.3376244752883,1556.795660382813,1935.361171151899,182.82027099468706,375.51549898587587,186.27760903657352,474.9663385590553,574.7769158389436,844.6042061751386
42.0,0.0,42.0,0.0,30.0,0.0,109.93958359512774,365.035567529486,185.54449641242243,774.1766526257534,1417.274059962947,2020.538403751739,180.85885290397047,380.72905058545405,146.84982794115243,547.4154649273767,583.1667829575885,925.1720745056671
43.0,0.0,43.0,0.0,30.0,0.0,98.96099611680653,415.84051313317156,209.43515752187827,762.2104111466073,1552.2204558443686,1894.7855188266235,188.20582238790846,372.2074413446709,178.73875130419555,552.4780643703134,639.979809009295,819.6192270150935
44.0,0.0,44.0,0.0,30.0,0.0,118.77771840823264,428.0707970184657,217.76079926337843,933.4246851932825,1395.0124059353343,2054.4521600714133,187.58938518282108,388.66339307602897,171.8832707703347,526.1878862767809,614.1717381091717,887.4044943616202
45.0,0.0,45.0,0.0,30.0,0.0,109.86668601368024,411.50656625785416,229.31816916678548,871.4093335672255,1639.5249240737455,1905.1461134027177,192.59300204743758,388.18939103500173,176.7798608928294,520.3305289954717,579.1220777819561,843.1012505151044
46.0,0.0,46.0,0.0,30.0,0.0,98.32590698546318,420.57232594547196,217.79617537478762,906.5410567256935,1434.6511954479818,1927.5117569476197,190.0113839974031,422.314004080617,172.37304329454594,552.812308197255,595.7318208595689,843.8881590550565
47.0,0.0,47.0,0.0,30.0,0.0,117.6213548175224,373.3181847676921,209.75626392870814,909.9342390888977,1511.882856550898,1896.0265532085166,191.19968522909213,377.22242820130543,176.67588748827882,563.0138451767921,609.7119113026755,630.2996588324816
48.0,0.0,48.0,0.0,30.0,0.0,117.84297894349403,387.03435729205603,202.91910062219014,996.3992572053805,1550.2125449911946,1989.8221543759257,187.72353587765122,407.7235569457007,180.4762059908681,581.0223704759685,657.102582915735,680.0359648309031
49.0,0.0,49.0,0.0,30.0,0.0,107.01530366935425,414.14558151076903,210.95467401459302,904.0501933656801,1417.7596054394155,2065.146866630555,203.27157495159162,448.35180541895545,178.15934336850697,594.4361579382421,608.5723065545559,763.9972435895754
50.0,0.0,50.0,0.0,30.0,0.0,114.9551799930386,410.50056668265336,227.93323091355896,1001.7514287361101,1456.2085820743944,2059.777582106467,179.3850019612565,418.95116883023053,184.41401179115627,619.8157376724067,607.115123194187,756.3122057794784
51.0,0.0,51.0,0.0,30.0,0.0,105.63893144419079,411.9330729068711,249.1458476054775,980.4644003084134,1549.1272644949154,2021.9918042733925,209.64729180582134,420.620659958769,170.63886876401483,582.3653616871226,601.1563600664273,755.0326610702837
52.0,0.0,52.0,0.0,30.0,0.0,106.7694320222779,385.2611662272437,232.08517388485456,1012.3334202433077,1707.336901730556,2006.602115621235,211.79570603919737,439.79016038324676,181.23663815994777,572.1996350208217,592.0383678691093,736.5347122067705
53.0,0.0,53.0,0.0,30.0,0.0,124.64579673833248,408.81288820215127,220.7033354728942,950.9540787401457,1611.5628015342359,1994.5621422707743,214.28888226877825,453.2123253457189,190.15812690008696,521.9313759044484,638.4488876327067,697.2796209822959
54.0,0.0,54.0,0.0,30.0,0.0,107.3343918975,392.44859439325916,238.51055740006532,942.3975452399754,1553.8704434590088,2006.2244671524504,226.59187680281633,475.5846217259016,198.41739258041233,589.2268243340857,627.4863613018199,658.9828812772463
55.0,0.0,55.0,0.0,30.0,0.0,114.26494320497095,393.67814479683705,241.90822320860076,1014.5138760441384,1764.531947791288,1997.890748933649,205.04918120756057,415.56507572017307,185.67518408362352,632.1005671013925,597.8748554380418,703.9171874067188
