Fiducial,Line_number,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,PX,PZ,S0X_time_1.086e-05,S0X_time_3.256e-05,S0X_time_5.426e-05,S0X_time_8.680e-05,S0X_time_1.411e-04,S0X_time_2.279e-04,S0X_time_3.689e-04,S0X_time_5.860e-04,S0X_time_9.115e-04,S0X_time_1.411e-03,S0X_time_2.192e-03,S0X_time_3.418e-03,S0X_time_5.339e-03,S0X_time_8.301e-03,S0X_time_1.338e-02,S0Z_time_1.086e-05,S0Z_time_3.256e-05,S0Z_time_5.426e-05,S0Z_time_8.680e-05,S0Z_time_1.411e-04,S0Z_time_2.279e-04,S0Z_time_3.689e-04,S0Z_time_5.860e-04,S0Z_time_9.115e-04,S0Z_time_1.411e-03,S0Z_time_2.192e-03,S0Z_time_3.418e-03,S0Z_time_5.339e-03,S0Z_time_8.301e-03,S0Z_time_1.338e-02
0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.568032971770171,2.6683908525992686,2.1807422556739504,1.7978966233441511,1.3840795509677484,0.9840403310779743,0.6363264259700209,0.37712028702730643,0.21584886573901424,0.11679414053477512,0.0561063577467152,0.027554278249639682,0.005113744678988362,0.002915644951136738,0.007289236122712706,6.942153662416378,4.900826896311028,4.255456325184967,3.7373298498537144,3.1412128242192288,2.491872403734708,1.840377847746938,1.278286556526938,0.8414077659936696,0.5277288987846139,0.309382940680101,0.17265405253620694,0.09367280758374219,0.04887365284521591,0.02420131516457352
1.0,0.0,1.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.567183599523122,2.6763527217977003,2.207830552991106,1.8340971280665699,1.4271639472541262,1.0513763921553922,0.6900885116989841,0.4146475921637978,0.2306179971202862,0.12235108862815995,0.0578577943954829,0.026709092637255495,0.01093049936028869,0.0059129590050833476,0.0003352441894065553,6.906678179009387,4.918895519549453,4.306986225200745,3.7888640842557186,3.221933857957321,2.602903730893416,1.9496188299004957,1.3691411774296314,0.9077804848146668,0.5739880072058042,0.335222004051821,0.18714589041673604,0.10003809408903548,0.05348546896865775,0.025231669140261082
2.0,0.0,2.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.556978176789738,2.658084568449447,2.220716608306661,1.8564728828809656,1.4770807705605535,1.0936694358941124,0.7386992471864081,0.4480299611587056,0.2596475553152418,0.13366972203550026,0.06418256448828695,0.025229799165984904,0.003677823101462953,0.005343094657141686,0.0012873526432199524,6.945925137607981,4.958631685266071,4.334630606514615,3.836904416156037,3.2767677651897316,2.6831252765742053,2.039298361725564,1.4457976408299706,0.9727225121038091,0.6129494994920465,0.3594870208197786,0.19973178690612392,0.10747483052681335,0.054051530671094916,0.02437539803731426
3.0,0.0,3.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.58627040928509,2.7158632846032464,2.2389001207787227,1.8790760276807406,1.513306685048133,1.14176750228879,0.7784933067431762,0.48673077624807626,0.2796243659551255,0.14906618108875525,0.06716560555452246,0.03670897717828785,0.013121086825417825,0.005137364845787593,-9.691103674614853e-05,6.930194714924771,4.979395989705847,4.364909873917978,3.8590366514253156,3.323434826403141,2.7340303186316746,2.109208250924394,1.5205092248444492,1.0337113200791512,0.6518222181158945,0.3846292203100296,0.21474684843619865,0.11028264138295908,0.06057074896229554,0.02600946103059848
4.0,0.0,4.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.579656297158798,2.7286531062000123,2.2672277871307833,1.9051800408892918,1.527791168496606,1.1663624412310842,0.8064683133129319,0.5208659781307011,0.29949657607606317,0.15700686593406804,0.07983653621928954,0.036359929006049514,0.011874868374973565,0.008947980160842575,0.0021137432005527957,6.9460451553933185,5.000251069104846,4.384060422725914,3.884911384421321,3.351035141936295,2.7841331385378596,2.1745129684260482,1.5883343731696624,1.0892194871524603,0.6926792939038863,0.4087765620492817,0.22778294188099787,0.11967078143049041,0.05875302925991217,0.029453946588442283
5.0,0.0,5.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.570380698598125,2.745455833955243,2.2836623269192162,1.9211965400261823,1.5465468526888182,1.193844153796974,0.8470198710568664,0.5403582039440017,0.32196862658879005,0.1773737352834908,0.085040650753214,0.040184343103521654,0.020432710155252134,0.006255912454504622,0.004502756718966568,6.947550822679224,5.024116247692837,4.40871294852576,3.903482312763855,3.376494481441592,2.817937235350266,2.2276177761977904,1.6448773228463913,1.1306284926178667,0.7324010199325801,0.4329746232799923,0.24094245653603255,0.12803502338325376,0.06454397470231753,0.030573251080305237
6.0,0.0,6.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.584409972558242,2.79053300021228,2.3036807419690084,1.9390647712533742,1.5729794184684547,1.2025737387399065,0.8713514440850711,0.5719546214775663,0.3475868414392474,0.18534553551606262,0.09608831536840232,0.04373945273191618,0.017519942806770845,0.009266462501240868,0.0007173945717127948,6.960561120646508,5.040218714478614,4.431989608515038,3.9338043692096303,3.4121604290663132,2.85260043393364,2.259926787566448,1.6940362039545744,1.1855189345955235,0.7672251679942109,0.46015326192669903,0.2514435956638785,0.13272096127052824,0.06506527424751715,0.03243258539265934
7.0,0.0,7.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.599268728158076,2.783901442999353,2.328416729153526,1.9580381977762742,1.593866239440005,1.228873204137947,0.8899589332860025,0.584532514175413,0.36764478929457517,0.19561532476483412,0.09208118088981829,0.04715422413339272,0.018883916502844593,0.006935838537710824,0.0045300444858696,6.9636479284930015,5.071964289234456,4.456721036489542,3.954391958114442,3.4370923184037903,2.883556310290753,2.2996082758628105,1.7364991964940293,1.2276734064119803,0.8036262231606176,0.48137367649791946,0.2681164117048306,0.13910937401904713,0.06699423564507151,0.031191438961309208
8.0,0.0,8.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.602495093754543,2.842039569229931,2.356281576894695,1.9870524687559967,1.5949790196352698,1.2427710806879584,0.9007202262020809,0.6100577319743323,0.38089584288198025,0.20801067415060864,0.10377771292621497,0.04501461209326568,0.018858748050571868,0.009609527687085099,0.010607085604852434,6.984643422774051,5.087899816198532,4.492561190590894,3.9891797617622506,3.460765607945043,2.9107962769583833,2.3337742732674434,1.767771556314984,1.2627240808196556,0.8290351677756943,0.5021943711388939,0.27942056046461095,0.14854101062930292,0.07026606961983925,0.03472695540420886
9.0,0.0,9.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.613380965625941,2.859142759632199,2.3856616467168887,2.000943985511188,1.6152970040979573,1.2541085663378524,0.9213640736370192,0.624793595155911,0.38524158780179285,0.21560491835469783,0.1060856425903238,0.05776659404974724,0.024902191127442602,0.008295624193138746,0.003927308532396564,6.971296334256926,5.101914263689231,4.523870000498554,4.007300445347856,3.4764820584586147,2.9271772622091303,2.3577938368385776,1.7992687199258777,1.292793596236826,0.8633097888201885,0.5257706049052808,0.29250430489407164,0.15342386186085297,0.07506222220496997,0.03354599195072868
