CMDLINE /usr/local/opt/python@3.8/bin/python3.8 plot_inference_1d_aerotem.py
MEM 0.246094 1612381779.2933
MEM 16.476562 1612381779.3994
MEM 28.011719 1612381779.5078
MEM 38.800781 1612381779.6164
MEM 52.781250 1612381779.7213
MEM 63.097656 1612381779.8271
MEM 83.343750 1612381779.9346
MEM 94.523438 1612381780.0388
MEM 99.863281 1612381780.1445
MEM 103.902344 1612381780.2528
MEM 116.902344 1612381780.3581
MEM 127.500000 1612381780.4625
MEM 146.894531 1612381780.5665
MEM 151.683594 1612381780.6714
MEM 152.078125 1612381780.7754
MEM 152.175781 1612381780.8841
MEM 152.562500 1612381780.9919
MEM 152.570312 1612381781.0981
MEM 152.644531 1612381781.2038
MEM 152.675781 1612381781.3101
MEM 152.722656 1612381781.4138
MEM 152.753906 1612381781.5221
MEM 152.644531 1612381781.6281
MEM 157.875000 1612381781.7348
MEM 159.496094 1612381781.8440
MEM 159.539062 1612381781.9501
MEM 159.539062 1612381782.0566
MEM 159.558594 1612381782.1674
MEM 160.218750 1612381782.2741
MEM 160.234375 1612381782.3801
MEM 160.246094 1612381782.4857
MEM 160.253906 1612381782.5918
MEM 160.265625 1612381782.7007
MEM 160.277344 1612381782.8074
MEM 160.289062 1612381782.9159
MEM 160.289062 1612381783.0222
MEM 160.289062 1612381783.1321
MEM 160.289062 1612381783.2377
MEM 160.289062 1612381783.3427
MEM 160.289062 1612381783.4516
MEM 160.289062 1612381783.5572
MEM 160.300781 1612381783.6644
MEM 160.300781 1612381783.7710
MEM 160.300781 1612381783.8772
MEM 160.300781 1612381783.9821
MEM 160.300781 1612381784.0891
MEM 160.300781 1612381784.1938
MEM 160.300781 1612381784.3002
MEM 160.308594 1612381784.4074
MEM 160.308594 1612381784.5135
MEM 160.308594 1612381784.6209
MEM 160.308594 1612381784.7283
MEM 160.308594 1612381784.8354
MEM 160.300781 1612381784.9406
MEM 160.308594 1612381785.0462
MEM 161.691406 1612381785.1515
MEM 161.707031 1612381785.2580
MEM 161.707031 1612381785.3652
MEM 161.707031 1612381785.4716
MEM 161.707031 1612381785.5780
MEM 161.707031 1612381785.6847
MEM 161.707031 1612381785.7944
MEM 161.707031 1612381785.9010
MEM 161.714844 1612381786.0110
MEM 161.714844 1612381786.1176
MEM 161.714844 1612381786.2276
MEM 161.714844 1612381786.3344
MEM 161.714844 1612381786.4390
MEM 161.714844 1612381786.5443
MEM 161.718750 1612381786.6507
MEM 161.730469 1612381786.7574
MEM 161.730469 1612381786.8662
MEM 161.730469 1612381786.9708
MEM 161.730469 1612381787.0777
MEM 161.730469 1612381787.1847
MEM 161.730469 1612381787.2954
MEM 161.730469 1612381787.4010
MEM 161.730469 1612381787.5061
MEM 161.730469 1612381787.6112
MEM 161.730469 1612381787.7187
MEM 161.730469 1612381787.8285
MEM 161.730469 1612381787.9348
MEM 161.730469 1612381788.0452
MEM 161.730469 1612381788.1517
MEM 161.730469 1612381788.2593
MEM 161.730469 1612381788.3663
MEM 161.730469 1612381788.4740
MEM 161.730469 1612381788.5832
MEM 161.730469 1612381788.6924
MEM 161.730469 1612381788.8005
MEM 161.730469 1612381788.9060
MEM 161.730469 1612381789.0126
MEM 161.742188 1612381789.1226
MEM 161.742188 1612381789.2295
MEM 161.742188 1612381789.3365
MEM 161.742188 1612381789.4437
MEM 161.742188 1612381789.5496
MEM 161.742188 1612381789.6591
MEM 161.742188 1612381789.7665
MEM 161.742188 1612381789.8737
MEM 161.753906 1612381789.9811
MEM 161.753906 1612381790.0876
MEM 161.753906 1612381790.1961
MEM 161.753906 1612381790.3012
MEM 161.753906 1612381790.4112
MEM 161.753906 1612381790.5207
MEM 161.753906 1612381790.6282
MEM 161.753906 1612381790.7341
MEM 161.757812 1612381790.8420
MEM 161.757812 1612381790.9518
MEM 161.757812 1612381791.0604
MEM 161.757812 1612381791.1666
MEM 161.757812 1612381791.2758
MEM 161.757812 1612381791.3854
MEM 161.757812 1612381791.4931
MEM 161.781250 1612381791.5983
MEM 161.781250 1612381791.7062
MEM 161.781250 1612381791.8139
MEM 161.781250 1612381791.9205
MEM 161.781250 1612381792.0269
MEM 161.781250 1612381792.1352
MEM 166.785156 1612381792.2409
MEM 166.789062 1612381792.3476
MEM 166.796875 1612381792.4527
MEM 166.796875 1612381792.5589
MEM 166.796875 1612381792.6668
MEM 166.796875 1612381792.7742
MEM 166.796875 1612381792.8809
MEM 166.796875 1612381792.9863
MEM 166.796875 1612381793.0942
MEM 166.804688 1612381793.1998
MEM 166.804688 1612381793.3106
MEM 166.804688 1612381793.4189
MEM 166.804688 1612381793.5269
MEM 166.804688 1612381793.6365
MEM 166.804688 1612381793.7417
MEM 166.804688 1612381793.8489
MEM 166.804688 1612381793.9548
MEM 166.812500 1612381794.0622
MEM 166.812500 1612381794.1703
MEM 166.812500 1612381794.2758
MEM 166.812500 1612381794.3823
MEM 166.812500 1612381794.4889
MEM 166.812500 1612381794.5944
MEM 166.812500 1612381794.7020
MEM 166.820312 1612381794.8119
MEM 166.824219 1612381794.9174
MEM 166.824219 1612381795.0248
MEM 166.824219 1612381795.1318
MEM 166.824219 1612381795.2382
MEM 166.824219 1612381795.3444
MEM 166.824219 1612381795.4510
MEM 166.832031 1612381795.5573
MEM 166.832031 1612381795.6649
MEM 166.832031 1612381795.7734
MEM 166.832031 1612381795.8815
MEM 166.832031 1612381795.9884
MEM 166.832031 1612381796.0934
MEM 166.832031 1612381796.1987
MEM 166.835938 1612381796.3063
MEM 166.839844 1612381796.4135
MEM 166.839844 1612381796.5224
MEM 166.839844 1612381796.6340
MEM 166.839844 1612381796.7441
MEM 166.855469 1612381796.8507
MEM 166.855469 1612381796.9619
MEM 166.855469 1612381797.0681
MEM 166.855469 1612381797.1777
MEM 166.855469 1612381797.2883
