CMDLINE /usr/local/opt/python@3.8/bin/python3.8 plot_inference_1d_aerotem.py
MEM 0.261719 1612381772.6147
MEM 16.218750 1612381772.7188
MEM 28.156250 1612381772.8271
MEM 38.765625 1612381772.9315
MEM 50.769531 1612381773.0373
MEM 59.992188 1612381773.1425
MEM 76.625000 1612381773.2471
MEM 88.324219 1612381773.3556
MEM 96.035156 1612381773.4610
MEM 102.867188 1612381773.5666
MEM 110.433594 1612381773.6754
MEM 125.453125 1612381773.7850
MEM 143.121094 1612381773.8915
MEM 151.707031 1612381773.9963
MEM 152.058594 1612381774.1045
MEM 152.218750 1612381774.2109
MEM 152.710938 1612381774.3192
MEM 152.710938 1612381774.4270
MEM 152.773438 1612381774.5336
MEM 152.812500 1612381774.6409
MEM 152.847656 1612381774.7465
MEM 152.878906 1612381774.8551
MEM 152.886719 1612381774.9606
MEM 152.710938 1612381775.0678
