line,id,E, N,elevation,alt,txrx_dx, txrx_dy, txrx_dz, TxRoll,TxPitch,TxYaw,RxRoll,RxPitch,RxYaw,Off[0],Off[1],Off[2],Off[3],Off[4],Off[5],Off[6],Off[7],Off[8],Off[9],Off[10],Off[11],Off[12],Off[13],Off[14],Off[15],Off[16],Off[17],Off[18],Off[19],Off[20],Off[21],Off[22],Off[23],Off[24],Off[25],Off[26],Off[27],Off[28],Off[29],Off[30],Off[31],Off[32],Off[33]
100101,     195.0,  432213.4,4194746.0, 2307.3, 31.6, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.2171e-11, 3.2351e-11, 2.0254e-11, 1.3032e-11, 8.3196e-12, 5.3641e-12, 3.4865e-12, 2.2019e-12, 1.4343e-12, 9.6564e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     196.0,  432238.0,4194755.5, 2307.1, 31.7, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.3313e-11, 3.2910e-11, 2.0679e-11, 1.3251e-11, 8.4172e-12, 5.4145e-12, 3.4832e-12, 2.2608e-12, 1.4701e-12, 1.0014e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     197.0,  432262.7,4194765.0, 2307.3, 31.8, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.4210e-11, 3.3368e-11, 2.1067e-11, 1.3360e-11, 8.4259e-12, 5.3778e-12, 3.4309e-12, 2.2004e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     198.0,  432288.4,4194775.0, 2307.8, 32.1, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.4743e-11, 3.3647e-11, 2.1357e-11, 1.3435e-11, 8.4040e-12, 5.3445e-12, 3.3603e-12, 2.1188e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     199.0,  432314.7,4194785.5, 2307.9, 32.2, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.5122e-11, 3.3908e-11, 2.1575e-11, 1.3533e-11, 8.4700e-12, 5.3490e-12, 3.3280e-12, 2.0698e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     200.0,  432341.9,4194797.0, 2308.0, 32.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.5560e-11, 3.4652e-11, 2.1906e-11, 1.3689e-11, 8.5592e-12, 5.3565e-12, 3.2668e-12, 2.0292e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     201.0,  432369.5,4194809.0, 2308.0, 31.6, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.6556e-11, 3.5478e-11, 2.2417e-11, 1.4077e-11, 8.7099e-12, 5.4176e-12, 3.3050e-12, 2.0157e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     202.0,  432395.6,4194820.5, 2308.0, 31.1, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.8053e-11, 3.5926e-11, 2.2722e-11, 1.4262e-11, 8.7822e-12, 5.6506e-12, 3.4361e-12, 2.0921e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     203.0,  432423.2,4194832.0, 2308.4, 30.6, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.0508e-11, 3.7658e-11, 2.3987e-11, 1.5170e-11, 9.2919e-12, 5.9472e-12, 3.6381e-12, 2.2227e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     204.0,  432450.9,4194843.0, 2308.7, 29.6, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.2600e-11, 3.9324e-11, 2.5195e-11, 1.6078e-11, 1.0247e-11, 6.1451e-12, 3.7736e-12, 2.2585e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     205.0,  432478.1,4194853.5, 2308.5, 29.5, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.4235e-11, 4.0478e-11, 2.6168e-11, 1.6820e-11, 1.0776e-11, 6.4705e-12, 3.9995e-12, 2.4133e-12, 1.5057e-12, 9.3503e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     206.0,  432505.2,4194864.0, 2308.1, 29.5, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.4815e-11, 4.0689e-11, 2.6358e-11, 1.7002e-11, 1.0826e-11, 6.7140e-12, 4.1225e-12, 2.4903e-12, 1.5493e-12, 9.2971e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
