Line    fid    Easting   Northing   elevation    height    I_380    Q_380    I_1776    Q_1776    I_3345    Q_3345    I_8171    Q_8171    I_41020    Q_41020    I_129550    Q_129550
30010    30007    586848.09    4639349.46    1247.34    34.228    160.6    249.9    509.8    491.4    311.9    220.2    1045.8    615.8    1779.6    464.1    1775.1    311.7
30010    30007.1    586848.01    4639352.72    1247.18    34.452    160.6    250.3    506.8    491.4    310.5    220.2    1047.5    615.6    1779.6    462    1774.5    307.5
30010    30007.2    586847.93    4639355.98    1247.02    34.648    160.5    250.7    504.2    493.5    309.2    219.7    1049.3    614.8    1779.6    460.1    1773.9    302.6
30010    30007.3    586847.85    4639359.24    1246.86    34.812    159    251    504    495.4    308.7    219.6    1050.2    613.4    1779.6    458.4    1771.9    297.8
30010    30007.4    586847.77    4639362.49    1246.75    34.941    159    251.4    504    497.2    308.7    219.6    1050.2    611.2    1779.6    457.1    1769.5    293.7
30010    30007.5    586847.69    4639365.75    1246.66    35.035    159    251.4    504    498.7    308.7    219.6    1050.2    608.7    1777.4    456    1767.2    290.7
30010    30007.6    586847.6    4639369.01    1246.56    35.094    159    251.4    504    500.2    308.7    219.6    1050.2    606.3    1773.9    454.9    1764.9    288.7
30010    30007.7    586847.52    4639372.26    1246.5    35.125    159    251.4    504    501.5    308.7    219.6    1050.2    604.2    1769.8    453.8    1761.9    287.3
30010    30007.8    586847.44    4639375.52    1246.45    35.139    159.3    251.4    506.2    502.6    309.6    220.7    1048.5    602.7    1765.1    452.4    1757.3    286
30010    30007.9    586847.36    4639378.78    1246.41    35.142    160.4    251.5    508.2    502.6    309.8    221.1    1046.7    601.5    1759.7    450.8    1751.1    284.5
30010    30008    586847.28    4639382.04    1246.41    35.141    160.4    251.5    508.2    502.6    309.8    221.1    1045.1    600.5    1753.5    448.8    1743.5    282.8
30010    30008.1    586847.21    4639385.33    1246.44    35.142    160.4    251.5    508.2    502.6    309.8    221.1    1043.7    599.4    1746.7    446.7    1735.8    281.1
30010    30008.2    586847.14    4639388.61    1246.47    35.145    160.4    251.5    508.2    502.6    309.8    221.1    1042.4    598.3    1739.6    444.6    1729    279.7
30010    30008.3    586847.08    4639391.9    1246.54    35.144    160.4    251.5    508.2    502.2    309.8    221.1    1041.2    597.1    1732.7    442.8    1724.1    280.4
30010    30008.4    586847.01    4639395.18    1246.65    35.13    159.8    251.7    507.7    500.3    309.4    220.6    1040.3    595.9    1726.7    441.4    1720.9    280.8
30010    30008.5    586846.95    4639398.47    1246.76    35.092    158.2    252.1    506    497.9    309    220.3    1039.6    594.7    1722.1    440.4    1718.8    281.1
30010    30008.6    586846.88    4639401.76    1246.92    35.019    156.8    252.4    506    496.6    309    220    1039.2    593.3    1718.9    440.4    1717.3    281.3
30010    30008.7    586846.82    4639405.04    1247.12    34.905    155.7    252.7    506    496.6    309    219.7    1039.1    591.8    1718.9    440.4    1716.9    281.7
30010    30008.8    586846.75    4639408.33    1247.33    34.747    155.7    252.9    506    496.6    309    219.2    1039    590.4    1718.9    440.4    1717.2    284.4
30010    30008.9    586846.69    4639411.62    1247.55    34.544    155.7    253    506    496.6    309    218.7    1039    589.1    1718.9    440.4    1717.7    287.9
30010    30009    586846.62    4639414.9    1247.78    34.3    155.7    253.1    506.4    496.6    309.1    218.1    1039    588    1718.9    441.3    1718.3    292.3
30010    30009.1    586846.58    4639418.22    1248.03    34.023    155.7    253.2    508.7    497.8    309.7    217.6    1039    587.2    1720.4    442.6    1718.9    297.4
30010    30009.2    586846.55    4639421.55    1248.27    33.722    156.2    253.6    511    498.6    310.5    217.3    1039    586.7    1723.3    444.6    1724.4    302.5
30010    30009.3    586846.51    4639424.87    1248.52    33.403    156.7    254.3    513    499.1    311.3    217.3    1039    586.7    1726.6    447.3    1731.3    308.4
30010    30009.4    586846.47    4639428.19    1248.77    33.074    157.3    255.4    514.6    499.6    312.3    217.3    1039    586.7    1730    450.3    1738.5    315
30010    30009.5    586846.44    4639431.51    1249.01    32.742    157.8    256.9    515.7    500.3    313.4    217.3    1039.1    586.7    1733.5    453.6    1744.7    322.5
30010    30009.6    586846.4    4639434.84    1249.25    32.412    158.3    258.5    516.5    501.2    314.7    217.3    1039.5    586.7    1737    457    1749.2    330.5
30010    30009.7    586846.36    4639438.16    1249.49    32.089    158.8    259.9    517.1    502.4    316.1    217.7    1041    587.5    1740.6    460.4    1752.2    338.8
30010    30009.8    586846.32    4639441.48    1249.74    31.774    159.2    260.9    517.6    503.7    317.5    218.4    1043.6    589.5    1744.3    464.2    1754.8    346.9
