line,fiducial,easting,northing,elevation,height,txrx_dx,txrx_dy,txrx_dz,Tx_Roll,Tx_Pitch,Tx_Yaw,Rx_Roll,Rx_Pitch,Rx_Yaw,Off_time[0],Off_time[1],Off_time[2],Off_time[3],Off_time[4],Off_time[5],Off_time[6],Off_time[7],Off_time[8],Off_time[9],Off_time[10],Off_time[11],Off_time[12],Off_time[13],Off_time[14],Off_time[15],Off_time[16],Off_time[17],Off_time[18],Off_time[19],Off_time[20],Off_time[21],Off_time[22],Off_time[23],Off_time[24],Off_time[25],Off_time[26],Off_time[27],Off_time[28],Off_time[29],Off_time[30],Off_time[31],Off_time[32],Off_time[33],Off_time[34],Off_time[35],Off_time[36],Off_time[37]
100101,154,431112.2,4194346.5,2304,36.7,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,5.60E-11,3.57E-11,2.31E-11,1.43E-11,9.06E-12,5.72E-12,3.63E-12,2.34E-12,1.38E-12,8.53E-13,NaN,NaN,NaN,NaN,NaN,NaN,5.00E-09,3.78E-09,2.81E-09,1.82E-09,1.12E-09,7.12E-10,4.57E-10,2.92E-10,1.99E-10,1.25E-10,9.06E-11,6.31E-11,3.99E-11,2.69E-11,1.82E-11,1.37E-11,NaN,NaN,NaN,NaN,NaN
100101,155,431140.7,4194354,2304.1,37.1,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,5.46E-11,3.48E-11,2.24E-11,1.40E-11,8.79E-12,5.55E-12,3.47E-12,2.21E-12,1.34E-12,8.16E-13,NaN,NaN,NaN,NaN,NaN,NaN,4.83E-09,3.57E-09,2.68E-09,1.75E-09,1.09E-09,6.90E-10,4.50E-10,2.89E-10,1.99E-10,1.25E-10,9.02E-11,6.02E-11,3.92E-11,2.66E-11,1.80E-11,1.27E-11,NaN,NaN,NaN,NaN,NaN
100101,156,431168.1,4194364,2304.4,37.7,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,5.22E-11,3.33E-11,2.12E-11,1.39E-11,8.72E-12,5.47E-12,3.39E-12,2.15E-12,1.33E-12,8.14E-13,NaN,NaN,NaN,NaN,NaN,NaN,4.58E-09,3.45E-09,2.56E-09,1.65E-09,1.07E-09,6.80E-10,4.42E-10,2.90E-10,1.99E-10,1.25E-10,8.72E-11,5.95E-11,3.78E-11,2.62E-11,1.73E-11,1.19E-11,NaN,NaN,NaN,NaN,NaN
100101,157,431194.8,4194376,2304.9,37.5,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,5.09E-11,3.25E-11,2.11E-11,1.35E-11,8.45E-12,5.26E-12,3.21E-12,2.02E-12,1.35E-12,8.26E-13,NaN,NaN,NaN,NaN,NaN,NaN,4.54E-09,3.43E-09,2.48E-09,1.66E-09,1.05E-09,6.73E-10,4.40E-10,2.99E-10,1.96E-10,1.29E-10,8.41E-11,5.92E-11,3.79E-11,2.59E-11,1.72E-11,1.15E-11,NaN,NaN,NaN,NaN,NaN
100101,158,431221.1,4194389,2304.5,36.4,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,5.14E-11,3.28E-11,2.16E-11,1.36E-11,8.51E-12,5.27E-12,3.23E-12,2.06E-12,1.27E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.75E-09,3.76E-09,2.64E-09,1.78E-09,1.10E-09,6.88E-10,4.55E-10,3.11E-10,1.94E-10,1.31E-10,8.39E-11,5.73E-11,3.76E-11,2.62E-11,1.68E-11,1.14E-11,NaN,NaN,NaN,NaN,NaN
100101,159,431245.5,4194400.5,2304.2,34.9,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,5.36E-11,3.51E-11,2.24E-11,1.41E-11,8.77E-12,5.43E-12,3.35E-12,2.16E-12,1.35E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.29E-09,4.13E-09,2.90E-09,1.97E-09,1.20E-09,7.83E-10,4.79E-10,3.24E-10,2.04E-10,1.39E-10,8.67E-11,5.63E-11,3.81E-11,2.70E-11,1.58E-11,1.10E-11,NaN,NaN,NaN,NaN,NaN
100101,160,431271.2,4194411,2304.5,33.3,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,5.63E-11,3.65E-11,2.33E-11,1.47E-11,9.10E-12,5.64E-12,3.59E-12,2.28E-12,1.47E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.83E-09,4.53E-09,3.21E-09,2.12E-09,1.30E-09,8.26E-10,5.16E-10,3.43E-10,2.12E-10,1.43E-10,8.78E-11,6.09E-11,3.90E-11,2.77E-11,1.58E-11,1.07E-11,NaN,NaN,NaN,NaN,NaN
100101,161,431297.6,4194420.5,2305,32.1,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,5.87E-11,3.78E-11,2.41E-11,1.52E-11,9.41E-12,5.87E-12,3.79E-12,2.45E-12,1.60E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.23E-09,4.79E-09,3.42E-09,2.23E-09,1.39E-09,8.66E-10,5.36E-10,3.56E-10,2.20E-10,1.49E-10,9.32E-11,6.33E-11,4.22E-11,2.86E-11,1.66E-11,1.12E-11,NaN,NaN,NaN,NaN,NaN
100101,162,431323.9,4194428,2305,31.6,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,6.12E-11,3.88E-11,2.48E-11,1.57E-11,9.90E-12,6.13E-12,3.94E-12,2.58E-12,1.71E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.36E-09,4.90E-09,3.49E-09,2.27E-09,1.42E-09,8.85E-10,5.67E-10,3.62E-10,2.34E-10,1.51E-10,9.59E-11,6.68E-11,4.30E-11,2.81E-11,1.60E-11,1.13E-11,NaN,NaN,NaN,NaN,NaN
100101,163,431350.6,4194434.5,2305,31.1,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,6.24E-11,3.96E-11,2.53E-11,1.60E-11,1.02E-11,6.39E-12,4.04E-12,2.66E-12,1.78E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.42E-09,4.88E-09,3.49E-09,2.26E-09,1.42E-09,8.90E-10,5.66E-10,3.56E-10,2.38E-10,1.53E-10,9.91E-11,7.11E-11,4.45E-11,2.95E-11,1.71E-11,1.25E-11,NaN,NaN,NaN,NaN,NaN
100101,164,431377.5,4194442,2305,31,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,6.33E-11,4.02E-11,2.57E-11,1.64E-11,1.04E-11,6.47E-12,4.07E-12,2.68E-12,1.79E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.48E-09,4.94E-09,3.49E-09,2.24E-09,1.42E-09,8.84E-10,5.52E-10,3.59E-10,2.41E-10,1.54E-10,9.98E-11,7.32E-11,4.69E-11,3.07E-11,1.77E-11,1.22E-11,NaN,NaN,NaN,NaN,NaN
100101,165,431404.8,4194449.5,2305,31.3,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,6.38E-11,4.05E-11,2.60E-11,1.66E-11,1.04E-11,6.54E-12,4.07E-12,2.66E-12,1.76E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.45E-09,4.93E-09,3.43E-09,2.21E-09,1.39E-09,8.70E-10,5.52E-10,3.52E-10,2.42E-10,1.57E-10,1.00E-10,7.43E-11,4.68E-11,3.07E-11,1.83E-11,1.32E-11,NaN,NaN,NaN,NaN,NaN
100101,166,431430.8,4194459,2305,31.3,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,6.40E-11,4.07E-11,2.61E-11,1.66E-11,1.04E-11,6.51E-12,4.09E-12,2.68E-12,1.74E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.27E-09,4.92E-09,3.42E-09,2.19E-09,1.39E-09,8.60E-10,5.55E-10,3.49E-10,2.40E-10,1.57E-10,9.96E-11,7.45E-11,4.74E-11,3.19E-11,1.95E-11,1.37E-11,NaN,NaN,NaN,NaN,NaN
100101,167,431455.9,4194469.5,2305,30.5,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,6.40E-11,4.07E-11,2.62E-11,1.69E-11,1.05E-11,6.53E-12,4.06E-12,2.60E-12,1.69E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.40E-09,4.86E-09,3.39E-09,2.17E-09,1.39E-09,8.52E-10,5.57E-10,3.63E-10,2.45E-10,1.60E-10,1.06E-10,7.40E-11,4.73E-11,3.32E-11,1.95E-11,1.47E-11,NaN,NaN,NaN,NaN,NaN
100101,168,431481,4194480.5,2305,29.5,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,6.68E-11,4.19E-11,2.70E-11,1.73E-11,1.07E-11,6.58E-12,4.01E-12,2.55E-12,1.68E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.17E-09,5.36E-09,3.60E-09,2.32E-09,1.45E-09,8.88E-10,5.89E-10,3.71E-10,2.58E-10,1.67E-10,1.12E-10,7.53E-11,5.10E-11,3.59E-11,2.12E-11,1.39E-11,NaN,NaN,NaN,NaN,NaN
100101,169,431507.1,4194490.5,2305.1,28,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,7.07E-11,4.51E-11,2.84E-11,1.79E-11,1.11E-11,6.79E-12,4.17E-12,2.57E-12,1.61E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.93E-09,5.92E-09,4.10E-09,2.51E-09,1.54E-09,9.43E-10,6.18E-10,3.83E-10,2.64E-10,1.66E-10,1.10E-10,7.44E-11,5.25E-11,3.56E-11,2.16E-11,1.50E-11,9.64E-12,NaN,NaN,NaN,NaN
100101,170,431534.3,4194499.5,2305.3,27.3,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,7.11E-11,4.54E-11,2.91E-11,1.83E-11,1.14E-11,6.94E-12,4.24E-12,2.61E-12,1.66E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.02E-09,6.07E-09,4.18E-09,2.64E-09,1.61E-09,9.99E-10,6.32E-10,3.93E-10,2.67E-10,1.72E-10,1.10E-10,7.67E-11,5.29E-11,3.65E-11,2.14E-11,1.48E-11,9.53E-12,NaN,NaN,NaN,NaN
100101,171,431561.5,4194507.5,2305.5,26.7,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,7.11E-11,4.56E-11,2.92E-11,1.84E-11,1.14E-11,7.02E-12,4.31E-12,2.73E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.16E-09,6.17E-09,4.20E-09,2.64E-09,1.60E-09,9.89E-10,6.24E-10,3.93E-10,2.64E-10,1.71E-10,1.13E-10,7.73E-11,5.31E-11,3.69E-11,2.20E-11,1.45E-11,9.78E-12,NaN,NaN,NaN,NaN
100101,172,431589.3,4194514,2305.4,26.9,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,7.02E-11,4.49E-11,2.90E-11,1.86E-11,1.16E-11,7.13E-12,4.42E-12,2.84E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.14E-09,6.11E-09,4.22E-09,2.61E-09,1.60E-09,9.91E-10,6.20E-10,3.95E-10,2.60E-10,1.67E-10,1.10E-10,7.94E-11,5.30E-11,3.57E-11,2.11E-11,1.40E-11,9.08E-12,NaN,NaN,NaN,NaN
100101,173,431617.5,4194522,2305.6,27.3,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,6.88E-11,4.41E-11,2.86E-11,1.83E-11,1.16E-11,7.21E-12,4.54E-12,2.91E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.06E-09,5.96E-09,4.12E-09,2.59E-09,1.57E-09,9.82E-10,6.18E-10,3.88E-10,2.52E-10,1.64E-10,1.05E-10,7.69E-11,5.28E-11,3.40E-11,2.06E-11,1.34E-11,NaN,NaN,NaN,NaN,NaN
100101,174,431646.5,4194530.5,2306,27.7,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,6.78E-11,4.35E-11,2.84E-11,1.83E-11,1.15E-11,7.23E-12,4.57E-12,2.93E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.96E-09,5.87E-09,4.09E-09,2.54E-09,1.56E-09,9.61E-10,6.11E-10,3.85E-10,2.45E-10,1.63E-10,1.07E-10,7.63E-11,5.05E-11,3.27E-11,2.05E-11,1.21E-11,NaN,NaN,NaN,NaN,NaN
100101,175,431672.2,4194539.5,2305.7,28.1,-13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,6.61E-11,4.28E-11,2.79E-11,1.80E-11,1.14E-11,7.30E-12,4.56E-12,2.95E-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.75E-09,5.80E-09,4.00E-09,2.48E-09,1.53E-09,9.53E-10,6.08E-10,3.82E-10,2.41E-10,1.56E-10,1.03E-10,7.54E-11,4.89E-11,3.16E-11,2.00E-11,1.21E-11,NaN,NaN,NaN,NaN,NaN
