Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,PX,PZ,S0X_time_1.086e-05,S0X_time_3.256e-05,S0X_time_5.426e-05,S0X_time_8.680e-05,S0X_time_1.411e-04,S0X_time_2.279e-04,S0X_time_3.689e-04,S0X_time_5.860e-04,S0X_time_9.115e-04,S0X_time_1.411e-03,S0X_time_2.192e-03,S0X_time_3.418e-03,S0X_time_5.339e-03,S0X_time_8.301e-03,S0X_time_1.338e-02,S0Z_time_1.086e-05,S0Z_time_3.256e-05,S0Z_time_5.426e-05,S0Z_time_8.680e-05,S0Z_time_1.411e-04,S0Z_time_2.279e-04,S0Z_time_3.689e-04,S0Z_time_5.860e-04,S0Z_time_9.115e-04,S0Z_time_1.411e-03,S0Z_time_2.192e-03,S0Z_time_3.418e-03,S0Z_time_5.339e-03,S0Z_time_8.301e-03,S0Z_time_1.338e-02
0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.601125512688045,2.682291805387224,2.1807171453403984,1.7824597835416074,1.2587026925459848,0.7685117259248386,0.4118439608912894,0.18186559165109692,0.12843888595394287,0.0981391158382397,0.02992905888441609,0.029594372540470273,-0.0843587135835313,-0.033211732595580745,0.09071688699894709,6.982594777359442,4.896690527563017,4.214441364204787,3.676486016120815,2.9605399068209746,2.127346534877966,1.3381912408821903,0.7622348550321923,0.37332438719613376,0.18195686813491294,0.053862375484306585,0.002083421969154047,-0.00022948191810575995,-0.0036972072599081468,0.01048180094270564
0.0,1.0,1.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.58807636135336,2.6691397868446103,2.2215457196968407,1.835676973536367,1.2762902953615303,0.9294882401781243,0.49776620376093417,0.22240401374720667,0.05939985072070725,0.031447850546777,-0.01209082436286219,-0.00671539543377327,-0.015545096662877447,0.01419215419948412,-0.02512019736054783,6.882377937212502,4.908986312236137,4.331599653447043,3.7763754406711874,3.1349022136979876,2.3973309487419976,1.5778316262679166,0.937777931127492,0.48568635777332486,0.2725296236789363,0.096607752570109,0.033875711840858934,0.010159254186864853,0.02772733503182668,0.010938186346216693
0.0,2.0,2.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.543655269581634,2.577378557156035,2.2055174725117954,1.8396575262185084,1.4247955475415732,0.9661789014923986,0.5912401484120529,0.24706575573199727,0.15030454896162154,0.02789823574038618,-0.004361313329991939,-0.051893146835949325,-0.1301422054498362,-0.0020472303524983184,-0.011241206277466498,6.981361212543536,4.992641001419305,4.36313835909124,3.885195322991569,3.2343909596659417,2.5650030491427853,1.76130996436158,1.063790787012436,0.6092370315262583,0.31228068822891664,0.12566719283635705,0.04509719295681832,0.031136304994090716,-0.002671009475869933,-0.02009350467307809
0.0,3.0,3.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.628037040360096,2.709416152174127,2.213047418819151,1.867125257857337,1.5225985290254258,1.1122003981348199,0.6570668671310349,0.35518411827438295,0.15313787098435994,0.07060166061408886,-0.03663532376306211,0.05163943196252154,-0.012255278736900629,-0.012206750033165252,-0.035836001915785634,6.932996868061235,5.011289916815267,4.404051135878367,3.886436810951629,3.328780762375646,2.62506851934621,1.8816537512359117,1.2154334801650284,0.7277299553011938,0.36032045439044696,0.16325504358614423,0.07809219044052479,-0.005082589953139947,0.05437272480462436,-0.011057327313689067
0.0,4.0,4.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.593888701610402,2.707303963975466,2.263823330223764,1.927491259364491,1.4888237518474463,1.1175380526694378,0.6640045454297134,0.4464133655784131,0.1668112131980084,0.031466580318263104,0.040870641437364616,0.01713157150401884,-0.04442856359909356,0.04849203931896657,-0.0015079128328941227,6.968485807786087,5.028834607078091,4.403337416399037,3.909039166076159,3.3493417095919242,2.7253789864693516,2.023060635728516,1.3604574877046918,0.8312508629079094,0.43479278109546415,0.19483080519164073,0.09120917307217452,0.03568040606260636,-0.014222179224286821,0.02695908384149553
0.0,5.0,5.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.5501938533313835,2.715932502113055,2.2615990544625255,1.9206096040235334,1.5057359680699443,1.1818053565884583,0.8176908647578423,0.41693104390089686,0.2220129409875781,0.13578992063888407,0.03263805060965914,0.030082506546090647,0.059724970315685064,-0.0064857805718424415,0.03564150797124202,6.965121076390173,5.055003495156441,4.421652971434266,3.8993516098843237,3.371005584027536,2.765587211279783,2.1319367939915335,1.4694493533058628,0.8576669782272152,0.5125376062917,0.23044167307038885,0.10532466242008356,0.06293430701143299,0.029547452401742298,0.026392081721552732
0.0,6.0,6.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.582051991574117,2.8070848252817675,2.2736141549171447,1.9262953430323118,1.5899454437718976,1.1204029824749115,0.8621309402808096,0.5382029076568223,0.32539388941044817,0.1051498739236338,0.09157822886898176,0.03928736268119352,0.003039590620372309,0.039329850409770606,-0.028703218868361854,6.991902813481855,5.053822504773485,4.433833594086713,3.942742877281947,3.4489396910721974,2.8324147566225184,2.1498870626123305,1.5632722288307455,1.0064232766632883,0.5649867137248565,0.2959197235349578,0.094352962926562,0.045302291093882535,-0.006319565547213444,0.03737042898452555
0.0,7.0,7.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.6157072330657485,2.744052203163511,2.304764878213606,1.9383269390503577,1.6364831456284448,1.2169672869779162,0.8824072229256154,0.48991948652648,0.3830530304538583,0.10582988272807747,-0.02089907860470676,0.04646775484539732,0.005609953698611355,-0.00989696170871623,0.03161444546039759,6.991578803581299,5.1033284646292065,4.4501845946892,3.9410973929542217,3.475987045033349,2.8924612983185027,2.2379958671602536,1.6428068586965743,1.0864962554571471,0.6434003237469155,0.31634651799804614,0.14373784216590507,0.04737433017473402,-0.022073063389225187,-0.002842169361030898
0.0,8.0,8.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.6102457282046005,2.871549977947025,2.348116827308975,2.017848605352375,1.5354440715243358,1.2244293684178005,0.8546541390911968,0.5959683623499902,0.381203295096445,0.13645841583062515,0.047688789036229653,-0.010865436613928327,-0.011644840579402752,0.0293298222869688,0.1290154734338239,7.038411454105051,5.098692650197157,4.505699661631918,4.00259456979562,3.4974155765221617,2.94031274985246,2.3132386343095344,1.677441769293056,1.1375045425973782,0.6496102621606075,0.3394720819627102,0.14312279621278487,0.0854855534316293,-0.01854039293045612,0.034539846391837756
0.0,9.0,9.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.628869255582645,2.8763865407615237,2.3966310794885963,1.991406758122362,1.578718875189767,1.2175596381340108,0.9278051015419614,0.6110554671580686,0.2965452375523036,0.11929509134771332,0.01054630591348621,0.10430178255875021,0.055565365154077125,-0.0024334565873418822,0.016841617623775087,6.992905332793482,5.086247989477814,4.543534106198462,3.98778045914541,3.4794947067763466,2.932670460689048,2.343263540333932,1.7330691696652178,1.1732374410664872,0.73876212822641,0.3924763377266594,0.1616693297953641,0.06925696273049357,0.007127728207593029,-0.005606615356631283
0.0,10.0,10.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.6353565712748575,2.813605794113502,2.4072121343546864,2.015764637055152,1.6099019152059633,1.2081263015675732,0.9278665691620774,0.6303251912542801,0.3705576025174098,0.17459444482821918,0.09694613217833492,-0.03198546675867189,0.013131669606594199,0.05889491521531461,-0.012828882400049115,6.990188608110868,5.173183518015818,4.603672645861368,4.067260109222691,3.562568118462022,2.951910055719287,2.335738116624573,1.7788909918500566,1.2461096823684918,0.8002629930534099,0.4177787347040887,0.20878838893499815,0.0709097416654051,0.045463771890154936,0.0007193810635196408
0.0,11.0,11.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.692219388337009,2.8822194106619117,2.3787419324036,2.065357428892421,1.6493498663408401,1.2965487845103787,0.9613931463509243,0.6251664380529632,0.3224557341665721,0.25371899241515583,0.09419994968393455,0.05494363009738349,-0.014290764887491833,0.001630687704590544,-0.050609221002832126,6.996702734823799,5.181098922183439,4.6120119918965825,4.149158741780296,3.5689833973994456,2.9837133529817765,2.361827544244909,1.8099120579567203,1.254029006738478,0.7976702567611391,0.4663820145978347,0.23984395946109824,0.05155302346750184,0.022106242645254945,0.019536276690082958
0.0,12.0,12.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.649470425830657,2.9841689683028734,2.452443739279678,2.0680121395370983,1.7440876271139625,1.3007304961995187,0.9659263261469314,0.6710825818929234,0.3951280996594007,0.2533521106825716,0.0851777502731629,-0.07186323850414221,0.0014642045856299944,0.0025171838641973284,-0.00397595281652176,6.970768204047074,5.243217108943847,4.599760404279754,4.149788646920374,3.5626726846377945,3.012026944947481,2.4328999648225405,1.8709069288870215,1.3042897961686635,0.8439039790854292,0.4963056221142288,0.20486843294539442,0.07625647685006604,0.036039108836735854,0.010189469310532119
0.0,13.0,13.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.622123764782486,2.906135370470947,2.5069159442459226,2.0521106929436628,1.6565323732091062,1.3156875215452595,0.916827058535706,0.6219549091352709,0.40077229437054507,0.20828032633972132,0.09764548174783201,-0.028930932579581507,0.07872059731289974,-0.09778057753171089,0.01805092816834553,7.021950052653653,5.241992987748004,4.656437822154028,4.158750103601021,3.5919638063416124,3.051537773027018,2.4439462090668753,1.8883454841760074,1.374674807828808,0.88525541838647,0.5308983612278688,0.24905319374367876,0.09215483625313807,0.0823528917527539,0.01688400339367413
0.0,14.0,14.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.585393782749085,2.980052367078511,2.4982571215950267,2.1375857001958365,1.7539547676308673,1.354991868950424,0.9943801343652284,0.6755573792748604,0.4362288122314826,0.2159816818641457,0.14801383040796257,0.09579846640157194,0.045034694625251406,0.030123689488507063,-0.0021158324308377936,6.986627418676966,5.306600030298741,4.716338123059228,4.177254086809922,3.656254352948094,3.010883879688861,2.4708017925842585,1.9277528905708232,1.406259454695472,0.9421914844488931,0.5557908859366382,0.26562298688887936,0.15787487395695643,0.04267744261621155,0.01195102309673771
0.0,15.0,15.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.6311393056775145,3.068501981085508,2.5395346880154155,2.141743879723853,1.7426580102634939,1.3938566632650813,0.8683821428333173,0.6967064036706089,0.43792542440047466,0.2677386520209566,0.1498005720363926,0.05744678240479337,0.004773777803471081,0.016676143700301006,0.050594329726440866,6.987286721193875,5.353693729358798,4.735180104669919,4.220541709432603,3.6143492693986925,3.055525704310276,2.444938000625077,1.9182575638545727,1.3979196073035096,0.9339226956776239,0.5874772387117754,0.3073506301670535,0.1022317165383099,0.038952851817861144,0.0008250483090113912
0.0,16.0,16.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.649740834280041,2.9985842060207744,2.620142927972377,2.1285594350514367,1.7200763213883472,1.3593519306664237,1.0085006916783006,0.7801969391547718,0.462604818168113,0.27765554387667213,0.09275014848119675,0.045406927130776535,0.05684365981063732,0.04877588309383237,0.008550045754734524,7.050034507087382,5.392886332461706,4.7567842902734565,4.233412869923714,3.6739931245036774,3.150957866377362,2.4684179010167924,1.9017745927882344,1.4198850022905174,0.9849145601308594,0.5727789745751712,0.2718762997168515,0.1028014420352837,0.059785850335921716,0.03578055571951657
0.0,17.0,17.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.664835757748841,3.0605928911851668,2.5139630059472395,2.214505714237496,1.7022522802408293,1.4290610686121772,0.9790999322489857,0.7787523676021674,0.4683471437783329,0.18252974395085145,0.19880903738622924,0.03741974124343654,0.018870211601552635,-0.020114241874193237,0.04067804230370423,7.074322523405219,5.367427996962412,4.775276818479569,4.3164892193030875,3.7636572850644354,3.1371742454382505,2.555429709997251,1.9482933311200474,1.4739000511030322,0.981504317431545,0.5962409502797646,0.32349111307137546,0.14098450047079145,0.05062770591202171,0.050029729391822805
0.0,18.0,18.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.724883723894875,3.1502066392129433,2.680298019538331,2.1934817011620487,1.874507948418076,1.3580072749724657,1.0144133257839176,0.6902198494805476,0.47787510758621154,0.24256081199420454,0.08425698090423303,0.08617706462125319,-0.017136235169731843,0.06937893896526517,0.016336743914553198,7.067900288582927,5.37673154405152,4.807747826834234,4.2886764776942226,3.75068427154023,3.131871771390954,2.5426003712644034,1.9570168732952988,1.4938855274039702,1.04015238854225,0.6017964078929243,0.3250244785460394,0.15821560854775257,0.06857780889832421,0.0018285907797257715
0.0,19.0,19.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.693850148555888,3.0634810128246306,2.6419295472941053,2.236887970327908,1.78497285740212,1.2487323242465354,1.0746892018562897,0.7005189445171272,0.4233886283157788,0.3368959544596916,0.15797731379106864,0.05837008672242389,-0.011978319423824785,-0.003475747471599006,0.002558889302937074,7.0889017091009245,5.452997010664713,4.79454271276217,4.324419362598652,3.7726368594722755,3.140584679453348,2.541223021630618,1.955394208615577,1.4955960579758911,1.0321887186529182,0.6666240803628861,0.34039258508853,0.1834272828271997,0.06206496807576084,0.027175889165408078
0.0,20.0,20.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.758675274532131,3.1656557358246094,2.687351313951802,2.294669590641274,1.7674252658530991,1.418508997203944,0.9563217865440933,0.7091990939269845,0.47269991774888875,0.3347065886900967,0.13495464579476477,0.07941861873312793,0.0034608210621370865,0.015286143249273538,0.06749871561357658,7.094149210977794,5.443628116685579,4.879521636049752,4.370062407830656,3.768939984921416,3.142882377362612,2.5692146059671903,1.9925790509835424,1.5154662488057742,1.0323746910066587,0.6282522609039131,0.3681199712102457,0.19073319057750912,0.09895554463633544,0.012217194984028129
0.0,21.0,21.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.757718440073773,3.1854505853601967,2.667654417002679,2.2466018190643977,1.8068429530406562,1.4461746091314305,1.1077960109205682,0.7141982345069724,0.4487089108932224,0.2611088029428293,0.14238527897309414,0.036168798512335384,0.04021419017888693,0.021656521423816515,-0.011297896649043213,7.022913729821703,5.5048515619721865,4.91820570986474,4.375160177969472,3.776274613898319,3.210188856354801,2.561140786721496,1.9889074811816638,1.4901966169668448,1.086169207563415,0.6937425510560566,0.37912131307987657,0.16693196888326978,0.08361820733691899,0.009979422599710613
0.0,22.0,22.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.764155928970451,3.1568925529694742,2.7434710791763246,2.297108266274923,1.892447975479791,1.3898091425478112,1.0230812773739921,0.6675414557137065,0.44023907626992365,0.304745130527851,0.1306271530804123,0.10396001174694455,0.011139708149091463,-0.012335853242965837,0.0034220869119695003,7.1075074960651285,5.542146602427028,4.965047392051212,4.454792745591037,3.83332138089641,3.19961348232405,2.584047497515697,2.056162372644356,1.525284206356599,1.086953686963393,0.676053300677884,0.3635167148952808,0.22700014089274728,0.06697024041591036,0.011090880949767668
