Line_number,Fiducial,Easting,Northing,Height,Elevation,In_Phase_380.0,In_Phase_1776.0,In_Phase_3345.0,In_Phase_8171.0,In_Phase_41020.0,In_Phase_129550.0,Quadrature_380.0,Quadrature_1776.0,Quadrature_3345.0,Quadrature_8171.0,Quadrature_41020.0,Quadrature_129550.0
0.0,0,0.0,0.0,30.0,0.0,715.012645399375,1283.5543877507598,577.5943216390634,1766.4438079945307,2008.9190758501434,2198.9284719367315,517.9287890752405,565.9119516715649,174.65135995122407,384.5310025179283,214.23798478973723,112.49370027494125
0.0,1,1.0,0.0,30.0,0.0,667.6976525425633,1332.0226172514535,578.4850056459595,1664.8862160096025,2214.646250732782,2188.925472745463,532.5902543557999,547.6177801233413,159.0629615771005,370.54466571756865,198.96900894994025,130.22278026602382
0.0,2,2.0,0.0,30.0,0.0,640.4703322971468,1275.747188875353,571.9448101694699,1755.0370968965042,1990.7817175962118,2114.351333267577,518.9111102261163,512.3667908416894,171.94118168401482,349.30959966008106,197.7755046914188,122.86423814707804
0.0,3,3.0,0.0,30.0,0.0,636.8392312287147,1268.3322679147489,565.3832696614857,1672.3612073558172,1923.52885029079,2018.6999456256663,460.7324798454055,489.30956882236916,154.7952472495057,330.84490996817317,167.55256710469993,155.98738976091772
0.0,4,4.0,0.0,30.0,0.0,649.6355527000254,1121.298003192619,483.952768534608,1405.410683501556,1734.6647676343891,2015.8890818323234,460.6743547990405,473.8312078372311,149.6896894122977,301.21288064794254,173.58990509150954,177.79801894103218
0.0,5,5.0,0.0,30.0,0.0,614.4398217441296,1231.5238561255421,442.1977634028251,1587.4888778728396,1524.7770353767382,1941.059765394228,456.0236832473394,460.6189756569649,140.36128052268595,301.3303674418394,185.93506116745326,194.40078973713855
0.0,6,6.0,0.0,30.0,0.0,615.0106088321222,1061.5125920486232,480.168630381931,1304.4254279601646,1657.6106137827792,1662.7131537328266,442.4640586721232,418.2738453631058,125.22162987098527,280.80420807769855,200.8954595690192,208.9508315230276
0.0,7,7.0,0.0,30.0,0.0,574.6801283423233,1006.4517408907818,465.0859663603879,1429.7773107231023,1570.8408782089462,1758.721180928043,415.7057694014056,429.2893936181532,140.459036899945,256.2002590125636,190.8632487676274,236.3831843215961
0.0,8,8.0,0.0,30.0,0.0,575.9525953634956,981.0629465830948,420.6388731001845,1323.4349092068223,1672.2425567149876,1708.7215019674406,415.1971308794068,379.5862858695098,126.21803508821165,263.36802988381606,215.79476800763027,268.3891365637103
0.0,9,9.0,0.0,30.0,0.0,507.86700200259656,964.5968401227196,418.166184097506,1245.831140293795,1477.9717223296575,1586.2154438128644,383.0159840825181,361.0236009905837,118.28430950357608,237.74975272125045,216.23167715278714,262.63753173332924
