Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_5.811e-05,S0Z_time_8.588e-05,S0Z_time_1.137e-04,S0Z_time_1.414e-04,S0Z_time_1.692e-04,S0Z_time_1.970e-04,S0Z_time_2.248e-04,S0Z_time_2.525e-04,S0Z_time_2.803e-04,S0Z_time_3.081e-04,S0Z_time_3.359e-04,S0Z_time_3.637e-04,S0Z_time_3.914e-04,S0Z_time_4.192e-04,S0Z_time_4.470e-04,S0Z_time_4.748e-04,S0Z_time_5.026e-04,S0Z_time_5.442e-04,S0Z_time_5.998e-04,S0Z_time_6.692e-04,S0Z_time_7.526e-04,S0Z_time_8.359e-04,S0Z_time_9.331e-04,S0Z_time_1.044e-03,S0Z_time_1.169e-03,S0Z_time_1.308e-03,S0Z_time_1.461e-03,S0Z_time_1.628e-03,S0Z_time_1.822e-03,S0Z_time_2.044e-03,S0Z_time_2.280e-03,S0Z_time_2.544e-03,S0Z_time_2.850e-03,S0Z_time_3.197e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,4.2838987790918545e-06,2.9689540737519688e-06,2.4358831775723487e-06,2.0175118900729358e-06,1.7847465548784157e-06,1.58997340609121e-06,1.4601602904705225e-06,1.3224485515114898e-06,1.2119943868379112e-06,1.087750452509183e-06,1.05421201827083e-06,1.0353334286046299e-06,9.470012444790987e-07,8.633190453945928e-07,8.318997398417044e-07,8.089843277351937e-07,7.459033751403424e-07,6.970288663219357e-07,6.154139565869328e-07,5.813432531854612e-07,5.075798012162995e-07,4.323729017850986e-07,3.814212237090403e-07,3.2979431806626914e-07,3.056238916648602e-07,2.414086784599772e-07,2.0824103947349703e-07,1.7890936290675943e-07,1.476718413275038e-07,1.2213524207648954e-07,1.0374237300567584e-07,9.01304495641931e-08,8.094645964911985e-08,5.8636577437507153e-08
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,4.703584579748274e-06,3.2663096432746554e-06,2.4283261277414237e-06,2.002097402563704e-06,1.7210148029327328e-06,1.5299827590782872e-06,1.3775539326350997e-06,1.170889395054777e-06,1.173258964039317e-06,1.118826248536705e-06,9.67123416478436e-07,9.215852938027128e-07,8.624933732743793e-07,7.903664723381706e-07,7.762732248645658e-07,7.30125003689496e-07,7.080318969954173e-07,6.3188538111488e-07,6.217098653701298e-07,5.104489509558308e-07,4.458182786955141e-07,3.990957511982264e-07,3.497344407849953e-07,3.066432679745785e-07,2.650286188684466e-07,2.261377945657373e-07,1.891692907571714e-07,1.6803621466256174e-07,1.3904860156276792e-07,1.167793109349244e-07,9.476226629532517e-08,8.23773778588579e-08,6.847367158103233e-08,5.351378077465897e-08
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,4.9771449599198425e-06,3.3929864436131286e-06,2.5848456434289268e-06,2.0425777397413075e-06,1.7104184122629026e-06,1.4475600845326266e-06,1.337351115863702e-06,1.1395881518566173e-06,1.081126124083664e-06,1.0163143588933736e-06,8.947983963794923e-07,8.842093806549426e-07,7.81784257325865e-07,7.380924862486718e-07,6.984384199812127e-07,6.671893082220365e-07,6.304044032121335e-07,5.935371355558846e-07,5.150409446357256e-07,4.927133525004459e-07,4.05315710511512e-07,3.407833963116001e-07,3.209517111679957e-07,2.78622145879955e-07,2.6392253310158935e-07,2.0334069964937295e-07,1.8219479265221247e-07,1.5350961130211375e-07,1.2318397033700473e-07,1.0566724166277194e-07,8.663794337485766e-08,7.654361765998348e-08,5.5753479522345624e-08,4.8170859081277344e-08
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,5.151076413849384e-06,3.5158914540152964e-06,2.7571982941797052e-06,2.1603457523180438e-06,1.8780019331270765e-06,1.4804254028465896e-06,1.350549167811428e-06,1.1625865437853451e-06,1.029448168699284e-06,9.669712437637884e-07,8.77165993645556e-07,8.52249907550789e-07,7.255919415416357e-07,7.12579877838164e-07,6.739680471723092e-07,6.384724377944019e-07,6.08140397268888e-07,5.316715056264522e-07,4.729651592571072e-07,4.399421505077279e-07,3.7001366691387594e-07,3.1621734246476015e-07,3.077646090000776e-07,2.496374176967642e-07,2.283527156803538e-07,1.8556092435180298e-07,1.6615747800815244e-07,1.3631118180017845e-07,1.2120143096738286e-07,1.0044138114080464e-07,8.840743848550794e-08,6.911542626585644e-08,5.267066364984408e-08,4.231425036498165e-08
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,5.6701617921441394e-06,3.9510230474499035e-06,2.9236853776224585e-06,2.446884000361193e-06,1.804344978759643e-06,1.5841081998910916e-06,1.3602118870124318e-06,1.1811278458338056e-06,1.0673981999455476e-06,9.729874098053056e-07,8.786440122755744e-07,8.124623973036054e-07,7.295925029073066e-07,6.561101261939839e-07,6.417128692544937e-07,6.04944876080304e-07,5.475839752258239e-07,4.866635374896099e-07,4.6327298979365434e-07,4.0522657340165465e-07,3.500629409257494e-07,3.166082278717879e-07,2.843006542040291e-07,2.2655394015159674e-07,2.211274583710194e-07,1.7200027084506143e-07,1.5605483746615285e-07,1.2512725273592435e-07,1.060151378338725e-07,8.894798509718101e-08,7.047122132882596e-08,6.324065790627139e-08,4.980620383287566e-08,4.273098418628774e-08
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,5.904368142449972e-06,4.226375818459873e-06,3.0512092183747645e-06,2.4608180148599813e-06,2.001917982397209e-06,1.735276458357198e-06,1.4375551010131767e-06,1.207317715141575e-06,1.0925500603917939e-06,9.392830120172751e-07,9.04948295277163e-07,7.704286800848576e-07,7.170542305605052e-07,6.530916848020118e-07,6.358137392724098e-07,5.588262659197002e-07,5.353465111279286e-07,5.026856044458383e-07,4.5156118837715473e-07,3.8328464478965016e-07,3.326506701240164e-07,2.9320745036222245e-07,2.4942541743051654e-07,2.1601051458062568e-07,1.8950459661030605e-07,1.5350723291917633e-07,1.384489528386221e-07,1.2730594434358544e-07,9.775863504385907e-08,8.009288705841722e-08,6.876760982231219e-08,5.705689091897974e-08,4.834958732615562e-08,3.6952424975388636e-08
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,5.9591364868736635e-06,4.3845426249970685e-06,3.371829169041337e-06,2.67452763049559e-06,2.0375011333356865e-06,1.8493834776169165e-06,1.6072810451709393e-06,1.324587384925367e-06,1.095380052586791e-06,1.0021095636027948e-06,8.610909320075722e-07,7.988236813422964e-07,7.368994979976685e-07,6.97031310769644e-07,5.954864951890721e-07,5.639267430816697e-07,5.718867763879202e-07,4.853475627408193e-07,4.369246852728894e-07,3.759362704493651e-07,3.125308154327735e-07,2.6983648944452417e-07,2.287193478098755e-07,2.00597377275126e-07,1.7261708882284176e-07,1.4807448089402197e-07,1.308404040626163e-07,9.766325803134182e-08,8.745619427692335e-08,7.568837847573685e-08,6.398167019275797e-08,5.21457109019246e-08,4.191569262795455e-08,3.697714781135371e-08
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,6.398398090119853e-06,4.615122540035756e-06,3.4913022718171956e-06,2.893469441435894e-06,2.0869366054555292e-06,1.9303423010956355e-06,1.6572679264769608e-06,1.418060364518864e-06,1.1780322308431677e-06,1.0126077625268908e-06,9.220866231669027e-07,8.392787040773828e-07,7.343848395132093e-07,6.972462683032956e-07,6.22306292913609e-07,5.790693748080822e-07,5.078998228804695e-07,4.686953326960359e-07,3.9903400843666356e-07,3.728777439890921e-07,3.0888416188589927e-07,2.587016526531664e-07,2.2354803726079995e-07,2.0328655289634512e-07,1.6726878311132935e-07,1.375914640772053e-07,1.1438601322485962e-07,9.265258527887095e-08,8.561879341579937e-08,6.935270637288699e-08,6.288216228684798e-08,5.018024600486196e-08,3.962600583731402e-08,3.270615607355197e-08
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,6.526992204478895e-06,4.664663999964623e-06,3.694294095022029e-06,3.0891595287415106e-06,2.406108650123572e-06,1.94447427105567e-06,1.6497614296157443e-06,1.4720573146487383e-06,1.2758873012497802e-06,1.1094022470344079e-06,9.486109802015094e-07,8.825373203329657e-07,7.824740512910701e-07,7.291931826984121e-07,6.536632805749148e-07,5.688256244929422e-07,5.211268393834017e-07,5.044574864606906e-07,4.171263439472189e-07,3.5235206291121096e-07,2.925609425460938e-07,2.518885013123785e-07,2.1746833285620122e-07,1.9153388431053139e-07,1.6335879862238748e-07,1.303368098288389e-07,1.194075825592177e-07,9.221854165009349e-08,8.122031295718035e-08,6.510321717089463e-08,5.649940136909162e-08,4.5898860885689984e-08,3.771160744374278e-08,3.090277560297302e-08
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,7.173134053653949e-06,5.0756209504188715e-06,3.9359706269193035e-06,3.179306892526264e-06,2.557258072941061e-06,2.229747680133382e-06,1.8552129025294221e-06,1.5525797061144837e-06,1.2979430970762072e-06,1.152885036951716e-06,1.0659214531273745e-06,9.171230817201777e-07,8.382500233029184e-07,7.365879662271755e-07,6.396352274326169e-07,6.103756952367231e-07,5.335592526204354e-07,5.042918633228891e-07,4.55096187120294e-07,3.60708674672268e-07,3.082771835100627e-07,2.545390919991757e-07,2.0411135464087578e-07,1.813139027111272e-07,1.461841989267835e-07,1.1939008604269303e-07,1.0649731674540228e-07,8.933446756906765e-08,7.143035037632796e-08,6.144144134077177e-08,4.859172273670248e-08,4.6421440670262304e-08,3.506388983014301e-08,2.75090535643206e-08
