Line_number,Fiducial,Easting,Northing,Height,Elevation,In_Phase_380.0,In_Phase_1776.0,In_Phase_3345.0,In_Phase_8171.0,In_Phase_41020.0,In_Phase_129550.0,Quadrature_380.0,Quadrature_1776.0,Quadrature_3345.0,Quadrature_8171.0,Quadrature_41020.0,Quadrature_129550.0
0.0,0,0.0,0.0,30.0,0.0,1034.558164985286,2204.2888821452625,963.4017696094426,3225.3513338347375,3839.0500070374574,4083.784534020111,944.1601066237141,1083.5498222582664,350.0475813695664,801.5486693454882,443.55723132507563,261.4888857177557
0.0,1,1.0,0.0,30.0,0.0,1034.9774324873702,2204.277991507037,963.4019863313268,3225.351334260895,3839.0500070374574,4083.784534020111,944.4796476329716,1083.5666456572872,350.04714500599164,801.5486659664294,443.5572313250756,261.4888857177556
0.0,2,2.0,0.0,30.0,0.0,1035.3960660250245,2204.2650466211285,963.4022712141859,3225.351335345168,3839.0500070374574,4083.784534020111,944.8221457283009,1083.58373741203,350.0466909711099,801.5486621532226,443.55723132507563,261.48888571775575
0.0,3,3.0,0.0,30.0,0.0,1035.8141358074345,2204.2498699636235,963.4026327329979,3225.3513372601765,3839.0500070374574,4083.784534020111,945.1890082055088,1083.6009991510489,350.04622392495526,801.5486579511763,443.55723132507563,261.48888571775575
0.0,4,4.0,0.0,30.0,0.0,1036.231548584714,2204.232279954026,963.4030798201971,3225.351340194726,3839.0500070374574,4083.784534020111,945.5815759170758,1083.6183054728335,350.0457500253586,801.5486534424793,443.55723132507563,261.4888857177557
0.0,5,5.0,0.0,30.0,0.0,1036.6480630518552,2204.2120918669148,963.4036215687289,3225.3513443591974,3839.0500070374574,4083.784534020111,946.001144043248,1083.6355031095943,350.0452770779761,801.5486487549383,443.55723132507563,261.4888857177557
0.0,6,6.0,0.0,30.0,0.0,1037.0633021218848,2204.1891191265913,963.4042672400752,3225.3513499693654,3839.0500070374574,4083.784534020111,946.4489772773084,1083.6524097423294,350.04481470049546,801.5486440714909,443.55723132507563,261.48888571775564
0.0,7,7.0,0.0,30.0,0.0,1037.4767625465377,2204.1631749901326,963.4050260555898,3225.351357241007,3839.0500070374574,4083.784534020111,946.9263208666224,1083.6688125549167,350.04437449608423,801.5486396402457,443.5572313250756,261.48888571775564
0.0,8,8.0,0.0,30.0,0.0,1037.8878222866724,2204.1340745648895,963.4059069316562,3225.351366389897,3839.0500070374574,4083.784534020111,947.4344085560671,1083.6844665989076,350.0439702313521,801.5486357847008,443.55723132507563,261.48888571775575
0.0,9,9.0,0.0,30.0,0.0,1038.295746018343,2204.10163717123,963.4069183031246,3225.3513775940505,3839.0500070374574,4083.784534020111,947.9744681965665,1083.6990930290206,350.0436180139756,801.5486329136504,443.5572313250756,261.4888857177557
0.0,10,10.0,0.0,30.0,0.0,1038.699689100644,2204.0656890505225,963.4080677380864,3225.351391004511,3839.0500070374574,4083.784534020111,948.5477255766075,1083.7123772616212,350.04333646474237,801.5486315301567,443.55723132507546,261.4888857177557
0.0,11,11.0,0.0,30.0,0.0,1039.0987002499369,2204.026066461515,963.4093616810562,3225.3514066967996,3839.0500070374574,4083.784534020111,949.1554068861287,1083.7239671037642,350.0431468781904,801.5486322387665,443.55723132507546,261.4888857177557
0.0,12,12.0,0.0,30.0,0.0,1039.4917231161146,2203.9826191435272,963.4108049955158,3225.351424660127,3839.0500070374574,4083.784534020111,949.7987401140363,1083.7334708982219,350.0430733652773,801.548635749972,443.55723132507546,261.4888857177557
