Line_number,Fiducial,Easting,Northing,Height,Elevation,In_Phase_380.0,In_Phase_1776.0,In_Phase_3345.0,In_Phase_8171.0,In_Phase_41020.0,In_Phase_129550.0,Quadrature_380.0,Quadrature_1776.0,Quadrature_3345.0,Quadrature_8171.0,Quadrature_41020.0,Quadrature_129550.0
0.0,0,0.0,0.0,30.0,0.0,206.4858907970431,299.6033138251759,120.47122488231771,355.15433300021914,397.5261648845787,478.39690154221034,101.07725334178116,76.72106735693325,24.02756846502311,55.698216416909155,77.34883977903799,145.11919608991917
0.0,1,1.0,0.0,30.0,0.0,194.55604767355698,279.7076158403549,112.3170230483617,330.85225707015616,376.580458860089,480.06333047504216,93.48872138549862,71.23386986518726,22.70073097264122,55.64443517793285,90.67972630627126,166.60900524116826
0.0,2,2.0,0.0,30.0,0.0,183.5213093619417,261.5656926296771,104.90930041925351,308.97685263023914,360.12362804904984,487.229527610668,86.67043436363772,66.5460315916882,21.659086455773995,56.479382485493915,105.32499708372713,183.5432581851944
0.0,3,3.0,0.0,30.0,0.0,173.30012636340703,244.99032056470108,98.16703792140788,289.27620569967286,347.9063306723506,497.22752375530325,80.53539541991117,62.55722074776043,20.86741961930123,58.09532358688318,120.65886861779944,195.7011950594474
0.0,4,4.0,0.0,30.0,0.0,163.81965836307927,229.81812200083803,92.01999998404042,271.53473168230687,339.5849502793469,508.06707251067536,75.00778395747467,59.18108378591455,20.295092180720346,60.393677234190314,136.07244672583147,203.75956306988596
0.0,5,5.0,0.0,30.0,0.0,155.01471117803445,215.9060690881797,86.40706732798421,255.5666525424923,334.7231516058236,518.5467289007291,70.02134653895122,56.34307408373977,19.915382842191327,63.284212021421865,151.02501167504298,208.74954654009784
0.0,6,6.0,0.0,30.0,0.0,146.82681957541826,203.12856630845414,81.27486094544587,241.21070856862474,332.8149501039756,528.0995160243103,65.518044250748,53.97865144066899,19.704928522291624,66.68425816176776,165.083680679722,211.68772467391395
0.0,7,7.0,0.0,30.0,0.0,139.20345364829623,191.37500488607103,76.57660012880288,228.32584503291616,333.32099503847337,536.5727887767433,61.44691174184262,52.03178355443085,19.643250956362177,70.51798245708865,177.9449321876185,213.40625723347748
0.0,8,8.0,0.0,30.0,0.0,132.0973303721141,180.54770384732183,72.27115019124139,216.78767763424696,335.7078710587089,544.0432379731657,57.76309164704002,50.453694404347,19.71235519596474,74.71575093775685,189.43655489679756,214.51352253406282
0.0,9,9.0,0.0,30.0,0.0,125.46581473670769,170.5601697476562,68.3222242779054,206.48558806003138,339.4817695164658,550.6912016813262,54.42701486389941,49.20181528983183,19.89638865818384,79.2135887222796,199.50350629035654,215.41684147141194
0.0,10,10.0,0.0,30.0,0.0,119.27039768065015,161.3356200388832,64.69771165967472,197.32033577528156,344.2115809164465,556.7255389798513,51.403702553504594,48.238902821390354,20.181351196294763,83.95273690046433,208.18394686553512,216.36548597145432
0.0,11,11.0,0.0,30.0,0.0,113.47623982666717,152.8057258261324,61.369110158421165,189.20209811027044,349.54037511661494,562.3433546000234,48.662170070737304,47.53229494483156,20.55484820755401,88.87929978079087,215.58192848118455,217.49425506259814
