Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_7.292e-05,S0Z_time_7.642e-05,S0Z_time_8.092e-05,S0Z_time_8.642e-05,S0Z_time_9.341e-05,S0Z_time_1.024e-04,S0Z_time_1.139e-04,S0Z_time_1.284e-04,S0Z_time_1.464e-04,S0Z_time_1.689e-04,S0Z_time_1.969e-04,S0Z_time_2.324e-04,S0Z_time_2.779e-04,S0Z_time_3.349e-04,S0Z_time_4.069e-04,S0Z_time_4.979e-04,S0Z_time_6.119e-04,S0Z_time_7.559e-04,S0Z_time_9.373e-04,S0Z_time_1.166e-03,S0Z_time_1.454e-03,S0Z_time_1.818e-03,S0Z_time_2.276e-03,S0Z_time_2.855e-03,S0Z_time_3.574e-03,S0Z_time_4.454e-03,S0Z_time_5.530e-03,S0Z_time_6.849e-03,S0Z_time_8.463e-03,S0Z_time_1.044e-02,S1Z_time_1.273e-05,S1Z_time_1.623e-05,S1Z_time_2.073e-05,S1Z_time_2.623e-05,S1Z_time_3.323e-05,S1Z_time_4.222e-05,S1Z_time_5.373e-05,S1Z_time_6.822e-05,S1Z_time_8.622e-05,S1Z_time_1.087e-04,S1Z_time_1.367e-04,S1Z_time_1.722e-04,S1Z_time_2.177e-04,S1Z_time_2.747e-04,S1Z_time_3.467e-04,S1Z_time_4.377e-04,S1Z_time_5.517e-04,S1Z_time_6.957e-04,S1Z_time_8.772e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.0852261881445577e-10,2.717996167140021e-10,2.529405189676635e-10,2.073148419735241e-10,1.9050567833505504e-10,1.589060158079294e-10,1.3367559205845565e-10,1.0733708608788153e-10,9.369568349156124e-11,7.383804591812797e-11,5.659473632266516e-11,4.477416946679928e-11,3.1666939122373994e-11,2.38669981318512e-11,1.5950946095380998e-11,1.021495217276023e-11,6.966973562355098e-12,4.235990992681285e-12,2.755255789147421e-12,1.579469554671789e-12,9.277506143031303e-13,5.402483836287087e-13,3.087865873507048e-13,1.7910074280907614e-13,9.536119271660906e-14,5.111442963846239e-14,2.7336925530925712e-14,1.6047810410682633e-14,7.571143866668838e-15,3.294189219291065e-15,7.068197206249913e-09,3.834465373623503e-09,2.0369718682907356e-09,1.1498178492388493e-09,6.242867274941764e-10,3.9580719371244387e-10,2.378256332611244e-10,1.8862463933666443e-10,1.2130676620110658e-10,9.395047058151418e-11,6.73725737249648e-11,4.6737301239919e-11,3.32072537827998e-11,2.2096240923252452e-11,1.3528564042321257e-11,8.620901022835954e-12,4.926000549611937e-12,2.720139574450614e-12,1.5462721590911609e-12,8.169474189514454e-13,4.4136091700351514e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.8893045696381576e-10,2.7121470505716837e-10,2.316386906496398e-10,2.144697865723328e-10,1.8013627727515183e-10,1.4989793168528897e-10,1.4114469654368086e-10,1.0404614221214544e-10,9.077022505720174e-11,6.792012884358896e-11,5.7572015777264354e-11,4.411887726080379e-11,3.216559793492026e-11,2.2258766519689146e-11,1.5783926139418976e-11,1.0625835408892219e-11,6.8632770220857556e-12,4.386977946426425e-12,2.904670220354404e-12,1.7101987083799196e-12,1.0374252502834998e-12,5.599727237555658e-13,3.218202502635053e-13,1.7250871900239884e-13,9.648285634622364e-14,5.3714089829190455e-14,2.890450321023842e-14,1.791549764582127e-14,8.626905259813208e-15,4.366388532012264e-15,7.355654724764573e-09,3.874679337552808e-09,1.967132478872008e-09,1.0883061721825783e-09,6.596099259922249e-10,3.9511109646516906e-10,2.4917009334736804e-10,1.7650235911647965e-10,1.3026451900871619e-10,8.99727881757441e-11,6.708446148435952e-11,4.794388744326043e-11,3.1997408797173843e-11,2.2170575373666807e-11,1.3582682419716762e-11,8.726770822532027e-12,5.149246285542038e-12,3.028161198247852e-12,1.5889958162836017e-12,8.773050608974546e-13,4.981139722500602e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.904720047486215e-10,2.714688958168394e-10,2.3352996002853173e-10,2.06658959584374e-10,1.8242517080029843e-10,1.5080000755574581e-10,1.2798277371159613e-10,1.0650820462572525e-10,8.905183846083215e-11,7.448632772265258e-11,5.582611436624706e-11,4.52530436277732e-11,3.375084117245984e-11,2.4009307726332588e-11,1.7332854942027192e-11,1.141462335148773e-11,7.514876236869247e-12,4.757284107828295e-12,2.9384858574299814e-12,1.7911130296118429e-12,1.0054130796723562e-12,6.269785037172254e-13,3.4406300743670875e-13,1.8496539862119808e-13,1.0946077847558583e-13,5.5402119078968813e-14,3.2180203670179764e-14,1.590526423644145e-14,9.89144088376328e-15,6.720657660821321e-15,6.8904408473739355e-09,3.824542560682634e-09,2.0800954141879512e-09,1.1132622589179705e-09,6.370407824947706e-10,3.9053860648365314e-10,2.406438310816702e-10,1.6291555536483847e-10,1.1927972544069065e-10,9.281208188989576e-11,6.398399023345642e-11,4.494247615239457e-11,3.394061045408554e-11,2.1789181349834484e-11,1.4199698806081476e-11,8.624012152251467e-12,5.5101316500210194e-12,3.2024483382365993e-12,1.727753858530457e-12,9.143241521272648e-13,4.629442808481175e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.9696937604678044e-10,2.9230827458424787e-10,2.4130720361141814e-10,2.099327586430661e-10,1.8059516406714786e-10,1.5367669217139214e-10,1.268984977696073e-10,1.0677271336952255e-10,8.514511599640765e-11,6.869678233662058e-11,5.686904993478159e-11,4.438083837770572e-11,3.210303203932392e-11,2.3869435417553695e-11,1.7070826327197354e-11,1.2047912441393323e-11,7.860385207326116e-12,5.001019133901029e-12,2.980594297017424e-12,1.9262264726728222e-12,1.1491240900820033e-12,6.978141460168235e-13,3.740250054201325e-13,2.1108510279494839e-13,1.15625351223224e-13,5.675914357940973e-14,3.2425007915877454e-14,1.735980394702764e-14,8.815361455194148e-15,5.8455299991991975e-15,7.569251409207702e-09,3.7297027872109636e-09,2.001280444666948e-09,1.1129572990547923e-09,6.159727916664176e-10,3.566152492839597e-10,2.453840452744026e-10,1.6336097258001533e-10,1.136059083358278e-10,9.015505652697758e-11,6.748908803745635e-11,4.720441654049397e-11,3.3015568918244144e-11,2.250800910567384e-11,1.4570787608458277e-11,9.352491784020605e-12,5.592901514723703e-12,3.2125632802464145e-12,1.919680997107332e-12,1.0287445463387376e-12,5.765972892037893e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.8581604372219384e-10,2.6038356814343335e-10,2.489370172738225e-10,2.061561966245479e-10,1.8743218522116486e-10,1.6118374501606454e-10,1.2207976474367042e-10,1.024181168819359e-10,8.21087364531676e-11,7.039475115616723e-11,5.5081243648774265e-11,4.158660124869683e-11,3.352677950666907e-11,2.5515404030378795e-11,1.709546887591856e-11,1.2589786191898163e-11,8.281559246623914e-12,5.23648888871922e-12,3.181911857583569e-12,1.9856490051486556e-12,1.2721139501217553e-12,6.848289245539246e-13,3.974699597972031e-13,2.1535893014153905e-13,1.145338772730087e-13,6.52642788972803e-14,3.6605046141833603e-14,1.9608957864857057e-14,1.1373105335795271e-14,5.3117762141580704e-15,7.196018926675911e-09,3.878206078812649e-09,1.9859305226001403e-09,1.0778625711787284e-09,5.99801568371575e-10,3.935480083872167e-10,2.4857562152697253e-10,1.6127697952138787e-10,1.1364776005707571e-10,9.148097908995626e-11,6.544064600079719e-11,4.633878033735733e-11,3.088579846234538e-11,2.2012424739010863e-11,1.4264584468275723e-11,9.28864786324105e-12,5.730518154151977e-12,3.330654753388343e-12,1.846648591976456e-12,1.0799049109465727e-12,5.602564828299379e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.992740465662843e-10,2.829364922889663e-10,2.48644997806597e-10,2.1837591358356347e-10,1.8602524714641746e-10,1.5463697808444955e-10,1.2585815602045534e-10,1.0082450039084414e-10,8.754025726424484e-11,6.960924453500788e-11,5.927552993356446e-11,4.3316283657597005e-11,3.374050027080382e-11,2.496711241938584e-11,1.708160139680049e-11,1.212796746523704e-11,7.86092497546915e-12,5.487956843503368e-12,3.449168738987894e-12,2.1586938164186015e-12,1.230699900792238e-12,7.073232004242413e-13,4.083941260607677e-13,2.3196169764363554e-13,1.207367013427376e-13,6.796379996527885e-14,3.6646573898908294e-14,2.0202744399016994e-14,9.738959935338437e-15,5.453446807208521e-15,7.439729060314089e-09,3.719273171123217e-09,1.9855596476268765e-09,1.1546977209165524e-09,6.349930002813522e-10,3.940061051731644e-10,2.5207253928750905e-10,1.756323348081178e-10,1.2220357039763521e-10,8.590019811753515e-11,6.228909199484902e-11,4.4922837084312046e-11,3.259514397792434e-11,2.209438901565545e-11,1.4753902388522205e-11,9.523115048314017e-12,5.935027925251451e-12,3.6688094906010106e-12,1.9431273141310977e-12,1.13855370263172e-12,5.736538739655951e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.9310787067993456e-10,2.740932426245416e-10,2.3250380524521926e-10,2.0553820449371807e-10,1.8154482451607087e-10,1.5075859048858737e-10,1.3297645161846962e-10,1.0245935070746346e-10,8.54555213625286e-11,6.866586290999987e-11,5.77099093255409e-11,4.202064033308466e-11,3.3834727301064756e-11,2.574675727801259e-11,1.882095869328107e-11,1.2698832827133819e-11,9.011790811232539e-12,5.455982768828101e-12,3.5020840989833836e-12,2.167277970013878e-12,1.3279383195350763e-12,7.185356603935631e-13,4.4616048144654083e-13,2.5000615942893745e-13,1.3017244725117676e-13,7.343489075633385e-14,3.85148405120387e-14,1.8996672439039812e-14,9.813527442767211e-15,5.059633120201323e-15,7.223716131323754e-09,3.886599585747265e-09,2.0162138264045068e-09,1.0642524337111522e-09,6.30846054762251e-10,3.774947601005876e-10,2.635839939537124e-10,1.699250224343845e-10,1.2092646477377917e-10,8.578345003629733e-11,6.014337079868525e-11,4.467906164218156e-11,3.241009140117098e-11,2.1809285568154666e-11,1.401591934454001e-11,9.503955740509996e-12,5.846636489811051e-12,3.589990856183949e-12,2.1213680042962205e-12,1.117640714204306e-12,6.039787100525604e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.9830715895854677e-10,2.6530747889567814e-10,2.4678996765589267e-10,2.0940637363439373e-10,1.785535177307403e-10,1.485199043839678e-10,1.2871888836886687e-10,1.0816019185264005e-10,8.731420080131554e-11,6.738451095319999e-11,5.4865647730677206e-11,4.421146330775909e-11,3.453493898048543e-11,2.6017881227631512e-11,1.8301390995886983e-11,1.3214190051409924e-11,8.373759201707636e-12,5.8553617777999216e-12,3.85515130693654e-12,2.2848654032297803e-12,1.431212896921829e-12,8.353832059055047e-13,4.633590405368439e-13,2.6569954594654066e-13,1.3654499455919044e-13,7.3361493665064e-14,4.176629724312715e-14,2.149796069962356e-14,9.665776658928567e-15,5.820839691118195e-15,7.76763947291911e-09,3.493209995881555e-09,2.0428200276890663e-09,1.063362276957381e-09,6.382811924871844e-10,3.9563788108810663e-10,2.4331650382177917e-10,1.6542909286634287e-10,1.1901752921625818e-10,8.666308183685806e-11,5.917149534994906e-11,4.537275261824576e-11,3.190027015035639e-11,2.1942778956790633e-11,1.4792781377738832e-11,9.211745336794891e-12,5.978400410951113e-12,3.653092798700552e-12,2.162859314536984e-12,1.1841548518489178e-12,6.659225001371971e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.054306042782296e-10,2.796108528394661e-10,2.495165047094916e-10,2.2347194975596379e-10,1.7925264119283224e-10,1.5453135071661875e-10,1.2863283998852079e-10,1.0417642722971175e-10,8.396876789854835e-11,7.122873640045064e-11,5.461582482238864e-11,4.4291059990832765e-11,3.2800878814205705e-11,2.394927212385151e-11,1.8917909775887442e-11,1.3625408822208953e-11,8.942153718566737e-12,5.990179193465021e-12,3.982559847238854e-12,2.401945088105961e-12,1.477858489271529e-12,8.547186602363035e-13,4.942131868443074e-13,2.6709710951953415e-13,1.455393070780795e-13,7.890949797915524e-14,3.904329218267568e-14,2.0906481816559202e-14,1.285903325928968e-14,7.466810579929795e-15,7.198128923653556e-09,3.6337382063491594e-09,2.023871138816673e-09,1.0779648859836507e-09,6.060173154213489e-10,3.948991104661372e-10,2.62433593393355e-10,1.7990181879939225e-10,1.2229692293512848e-10,8.621028657707978e-11,6.003763009678651e-11,4.639557208588383e-11,3.132760711624208e-11,2.259602639774841e-11,1.4504980127516193e-11,1.0084384310466239e-11,5.742630874463618e-12,3.716264479405185e-12,2.1037512999929453e-12,1.1886982471445963e-12,6.222192249955273e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.9599660025028564e-10,2.973235832175678e-10,2.440381086225907e-10,2.2209894352827402e-10,1.76354757512937e-10,1.693480995286198e-10,1.3119424044810915e-10,1.101845944266218e-10,9.028076785184585e-11,6.906041639628809e-11,5.615523302385028e-11,4.3096065853664126e-11,3.2516283392665165e-11,2.3725622535278234e-11,1.824978578025145e-11,1.331205461127498e-11,9.246914451352587e-12,6.0501367432119144e-12,3.9276100633836156e-12,2.4599646778646745e-12,1.4453361179014292e-12,8.292580711665123e-13,4.869247650360544e-13,2.6280176026201455e-13,1.5442796599571638e-13,8.737032017176399e-14,4.464349285543623e-14,2.2537664938471167e-14,1.1893341663017216e-14,7.437236240247548e-15,6.954003991702069e-09,3.7351599929241785e-09,1.8154836492675191e-09,1.035198667308458e-09,6.172370323324754e-10,3.968455326721682e-10,2.517407960087889e-10,1.804082302649942e-10,1.254908424056281e-10,9.334593276102756e-11,6.082557914830622e-11,4.1713550334988035e-11,2.8732665940334443e-11,2.1344809431069865e-11,1.5036965227659088e-11,9.625492955726133e-12,6.2167822842199015e-12,3.7292078784201556e-12,2.2087296176154984e-12,1.1811785755987004e-12,7.139130414328939e-13
