Line_number,Fiducial,Easting,Northing,Height,Elevation,In_Phase_380.0,In_Phase_1776.0,In_Phase_3345.0,In_Phase_8171.0,In_Phase_41020.0,In_Phase_129550.0,Quadrature_380.0,Quadrature_1776.0,Quadrature_3345.0,Quadrature_8171.0,Quadrature_41020.0,Quadrature_129550.0
0.0,0,0.0,0.0,30.0,0.0,51.3636755481229,204.72599641332073,127.01156563407659,586.343569856374,1152.5205716557466,1858.4834299255385,114.34289976886063,264.18756584060367,122.46042542891716,440.8383856815077,839.4430477737614,1182.8029673995088
0.0,1,1.0,0.0,30.0,0.0,48.13725684305743,210.58539587938915,126.66161050486485,540.6962923698386,1134.1213709434887,1932.759258175036,113.2170964081939,256.8874006969725,102.5881205790324,440.1335188465317,867.7004268261242,1060.8139451685174
0.0,2,2.0,0.0,30.0,0.0,58.63114592641597,199.88150816005168,126.67480447997137,530.4869689764043,1138.0832260064217,2095.0868984300405,115.27688875932589,276.591002137184,115.15648547156276,378.29285064166015,814.6722418563772,1110.0352879947823
0.0,3,3.0,0.0,30.0,0.0,55.08294693013658,239.3668357119737,125.81049269203356,530.3278326396494,1002.9616875320739,1811.563077190458,103.92758584499917,300.77620537341403,117.44948045942604,408.2516206534449,774.3930532073766,1143.8277116888248
0.0,4,4.0,0.0,30.0,0.0,41.29868996972776,228.48551092398856,123.82877459447359,551.7810690037412,1033.5411905477486,1833.6770501401759,119.56598380046687,279.56172558696204,121.27738908543958,421.6559367558567,797.3339274102515,1080.2250392928854
0.0,5,5.0,0.0,30.0,0.0,48.571322853534404,232.44061651764684,126.34254371012362,495.7590492299709,1072.2757369645542,1908.332097542071,109.4166934499611,280.5896730543098,113.01454880151199,414.735260957886,850.7520427104506,1106.7285125075318
0.0,6,6.0,0.0,30.0,0.0,60.834397255361964,226.16604027391088,138.09922160815924,526.7635029399376,1018.3101348520114,1889.713420563565,122.11506411871801,274.9400000580476,110.45657181166274,431.9307013413307,836.6911205950763,1014.132430162685
0.0,7,7.0,0.0,30.0,0.0,64.81865487419736,272.3546018469624,146.06334298813618,543.1730175850973,1009.6222139648866,2047.3570400638712,123.48209932638945,292.0877404954056,120.68946401808311,433.28511566717714,829.0024056234339,1137.0601756016254
0.0,8,8.0,0.0,30.0,0.0,58.21340550409246,275.4801915050954,138.39271697787163,562.0549030137782,1170.2955092801194,1812.121680267241,118.35398270726412,288.43967152325894,109.61317431985573,454.03445669236504,794.3273149735114,1056.074756075192
0.0,9,9.0,0.0,30.0,0.0,71.1778852279092,275.4169189680723,154.3261596377845,579.1377282321048,1025.119380459344,2127.4679957032836,128.32986408735314,286.020419021901,125.82624418745064,410.00331155482684,833.0626859599208,1147.088827466705
0.0,10,10.0,0.0,30.0,0.0,63.93325389917345,243.31543320979742,141.9074241278527,594.2509899693832,1036.375546392092,1925.74759958318,128.62037814502986,301.33909543346294,123.57333211667861,422.7498554811878,773.650858708258,1124.9821862995725
0.0,11,11.0,0.0,30.0,0.0,59.42329324460327,262.09031404458085,134.7671844392502,579.2986641212626,1107.4660261243193,1918.550523511175,137.11084744388938,258.46189358407935,106.80518858729897,424.38022322713374,808.392191306924,1129.1366908486548
0.0,12,12.0,0.0,30.0,0.0,79.26467068880294,277.80009745034954,133.1951870579595,595.5578922861567,1007.5928471036545,1892.4664478838786,134.69920718555858,299.6196173890082,112.68529558949513,398.3514553142629,794.4582184429989,1056.6736944770125
0.0,13,13.0,0.0,30.0,0.0,73.39262598408357,251.61315874501886,131.94394004729642,554.6996374916879,1054.5220107526332,2122.6816939537316,144.68646414611183,276.1203082214224,109.1472888325674,435.2306167692817,755.0718477619067,1007.1558963877048
0.0,14,14.0,0.0,30.0,0.0,75.32655956187675,273.9156369076445,150.72996570328235,580.4346313732262,1131.0191467373152,1871.074937110227,129.1282081837026,285.1806254252648,112.69865357127516,403.41530447237994,773.676683200891,1091.4633838443908
0.0,15,15.0,0.0,30.0,0.0,67.43872713302278,251.65023855067273,137.8798943192774,510.3088032187766,1121.4070348589682,1777.5270596532228,129.6915279901161,276.4440301704916,113.54970637447121,452.63838056328854,737.1523773054215,1103.682422587366
0.0,16,16.0,0.0,30.0,0.0,70.75401469466728,256.57116447185336,148.91350511270153,574.3090931469694,1132.5452220673762,2010.5567933683747,158.93803939541328,295.91145978723443,116.86229920720524,415.34289846959524,828.7069152413809,1123.3384530321644
0.0,17,17.0,0.0,30.0,0.0,76.28956365032423,251.81276880456494,144.93207634406102,561.7376163560069,1108.7993302800248,1919.8607064631503,149.274027246417,281.66725420116313,126.38841740751786,411.55386113597064,744.5950325176151,1063.5753249776728
0.0,18,18.0,0.0,30.0,0.0,73.52418880385346,282.9325742873647,165.98437028625713,586.6447800778433,1044.0508965899808,1894.3410165076157,138.39758616102938,284.94629688203423,108.7103411098905,424.1831576650809,784.5623397928156,1096.8482450814442
0.0,19,19.0,0.0,30.0,0.0,71.13766268622753,275.58133075251135,134.21492303701086,577.4787566697315,1070.08153476124,1966.2448998149548,133.31816128947332,290.36740930992636,133.14136689019006,378.8823389408657,791.6601488701358,1119.1650237993952
0.0,20,20.0,0.0,30.0,0.0,72.05282681574563,274.9003945869781,146.5790404053522,587.7406757376503,1086.4440567670786,1763.0194359829368,154.50074721721262,295.9181736276832,115.61074684926287,393.1163991742331,791.8403979708553,1049.1942989219972
0.0,21,21.0,0.0,30.0,0.0,78.09421002540891,277.714492497195,154.88585098696865,622.4375935472837,1066.860365085386,1789.7197785056294,131.3435457213429,290.1673294924466,113.2895809680865,415.23431364885573,745.0214475379944,1075.5278760982396
0.0,22,22.0,0.0,30.0,0.0,65.99624361975619,286.9980156951142,154.3575244237372,608.5501414194772,1093.6117714263344,1930.6712758882618,149.73318033395023,240.83161536363414,138.93262174854357,436.1135236659242,739.4904271045546,1055.070435406091
0.0,23,23.0,0.0,30.0,0.0,82.49339285959385,284.04160483913336,132.2659450740474,674.3167414622606,1108.6547319788338,2017.7656506236565,140.91668270530033,306.8633730512864,126.40759966455659,442.20233644401594,721.0375478624877,1139.2136638837703
0.0,24,24.0,0.0,30.0,0.0,84.77464178802022,307.25326972596133,145.92484795577113,600.1551617680103,1248.2703303551432,1816.3341951983716,146.7095020357085,302.42350163054357,125.65464946602448,442.95381764476076,742.3958242417698,1091.3869740364737
